year,team0,team1,region,round,winner,pts_team0,ptspg_team0,fgm_team0,fga_team0,fgp_team0,3pm_team0,3pa_team0,3pp_team0,ftm_team0,fta_team0,ftp_team0,orb_team0,orbpg_team0,drb_team0,drbpg_team0,reb_team0,rebpg_team0,ast_team0,astpg_team0,stl_team0,stlpg_team0,blk_team0,blkpg_team0,tov_team0,tovpg_team0,pf_team0,pfpg_team0,seed_team0,wins_team0,losses_team0,winp_team0,cwins_team0,closses_team0,cwinp_team0,pts_team1,ptspg_team1,fgm_team1,fga_team1,fgp_team1,3pm_team1,3pa_team1,3pp_team1,ftm_team1,fta_team1,ftp_team1,orb_team1,orbpg_team1,drb_team1,drbpg_team1,reb_team1,rebpg_team1,ast_team1,astpg_team1,stl_team1,stlpg_team1,blk_team1,blkpg_team1,tov_team1,tovpg_team1,pf_team1,pfpg_team1,seed_team1,wins_team1,losses_team1,winp_team1,cwins_team1,closses_team1,cwinp_team1,pts_diff,ptspg_diff,fgm_diff,fga_diff,fgp_diff,3pm_diff,3pa_diff,3pp_diff,ftm_diff,fta_diff,ftp_diff,orb_diff,orbpg_diff,drb_diff,drbpg_diff,reb_diff,rebpg_diff,ast_diff,astpg_diff,stl_diff,stlpg_diff,blk_diff,blkpg_diff,tov_diff,tovpg_diff,pf_diff,pfpg_diff,seed_diff,wins_diff,losses_diff,winp_diff,cwins_diff,closses_diff,cwinp_diff
2003,Wisconsin,Tulsa,Midwest Regional,2,0,2051.0,70.724,726.0,1573.0,0.462,181.0,504.0,0.359,418.0,564.0,0.741,273.0,9.414,624.0,21.517,897.0,30.931,385.0,13.276,203.0,7.0,82.0,2.828,303.0,10.448,430.0,14.828,5.0,22.0,7.0,0.759,12.0,4.0,0.75,2279.0,73.516,818.0,1768.0,0.463,206.0,568.0,0.363,437.0,601.0,0.727,317.0,10.226,789.0,25.452,1107.0,35.71,458.0,14.774,235.0,7.581,155.0,5.0,443.0,14.29,536.0,17.29,13.0,23.0,8.0,0.742,12.0,6.0,0.667,-228.0,-2.7920000000000016,-92.0,-195.0,-0.0010000000000000009,-25.0,-64.0,-0.0040000000000000036,-19.0,-37.0,0.014000000000000012,-44.0,-0.8120000000000012,-165.0,-3.9350000000000023,-210.0,-4.779,-73.0,-1.4979999999999993,-32.0,-0.5810000000000004,-73.0,-2.172,-140.0,-3.8419999999999987,-106.0,-2.4619999999999997,-8.0,-1.0,-1.0,0.017000000000000015,0.0,-2.0,0.08299999999999996
2003,Marquette,Missouri,Midwest Regional,2,0,2195.0,78.393,762.0,1575.0,0.484,162.0,427.0,0.379,509.0,661.0,0.77,337.0,12.036,643.0,22.964,980.0,35.0,457.0,16.321,168.0,6.0,103.0,3.679,370.0,13.214,521.0,18.607,3.0,25.0,3.0,0.893,14.0,2.0,0.875,2223.0,71.71,810.0,1834.0,0.442,232.0,650.0,0.357,371.0,563.0,0.659,390.0,12.581,754.0,24.323,1144.0,36.903,426.0,13.742,177.0,5.71,134.0,4.323,416.0,13.419,523.0,16.871,6.0,21.0,10.0,0.677,9.0,7.0,0.562,-28.0,6.683000000000007,-48.0,-259.0,0.04199999999999998,-70.0,-223.0,0.02200000000000002,138.0,98.0,0.11099999999999999,-53.0,-0.5449999999999999,-111.0,-1.3590000000000018,-164.0,-1.9029999999999987,31.0,2.5790000000000006,-9.0,0.29000000000000004,-31.0,-0.6440000000000006,-46.0,-0.20500000000000007,-2.0,1.7360000000000007,-3.0,4.0,-7.0,0.21599999999999997,5.0,-5.0,0.31299999999999994
2003,Pittsburgh,Indiana,Midwest Regional,2,0,2238.0,74.6,806.0,1605.0,0.502,190.0,543.0,0.35,434.0,683.0,0.635,306.0,10.2,704.0,23.467,1011.0,33.7,530.0,17.667,242.0,8.067,123.0,4.1,445.0,14.833,539.0,17.967,2.0,25.0,5.0,0.833,13.0,3.0,0.812,2257.0,70.531,750.0,1757.0,0.427,238.0,692.0,0.344,516.0,724.0,0.713,322.0,10.062,787.0,24.594,1108.0,34.625,442.0,13.812,142.0,4.438,171.0,5.344,359.0,11.219,578.0,18.062,7.0,20.0,12.0,0.625,8.0,8.0,0.5,-19.0,4.068999999999988,56.0,-152.0,0.07500000000000001,-48.0,-149.0,0.006000000000000005,-82.0,-41.0,-0.07799999999999996,-16.0,0.1379999999999999,-83.0,-1.1270000000000024,-97.0,-0.9249999999999972,88.0,3.855000000000002,100.0,3.6290000000000004,-48.0,-1.2440000000000007,86.0,3.6140000000000008,-39.0,-0.09500000000000242,-5.0,5.0,-7.0,0.20799999999999996,5.0,-5.0,0.31200000000000006
2003,Kentucky,Wisconsin,Midwest Regional,3,0,2481.0,77.531,911.0,1868.0,0.488,189.0,531.0,0.356,470.0,665.0,0.707,380.0,11.875,720.0,22.5,1101.0,34.406,519.0,16.219,248.0,7.75,166.0,5.188,447.0,13.969,557.0,17.406,1.0,27.0,5.0,0.844,16.0,0.0,1.0,2051.0,70.724,726.0,1573.0,0.462,181.0,504.0,0.359,418.0,564.0,0.741,273.0,9.414,624.0,21.517,897.0,30.931,385.0,13.276,203.0,7.0,82.0,2.828,303.0,10.448,430.0,14.828,5.0,22.0,7.0,0.759,12.0,4.0,0.75,430.0,6.807000000000002,185.0,295.0,0.025999999999999968,8.0,27.0,-0.0030000000000000027,52.0,101.0,-0.03400000000000003,107.0,2.4610000000000003,96.0,0.9830000000000005,204.0,3.474999999999998,134.0,2.9430000000000014,45.0,0.75,84.0,2.36,144.0,3.520999999999999,127.0,2.5779999999999994,-4.0,5.0,-2.0,0.08499999999999996,4.0,-4.0,0.25
2003,Pittsburgh,Marquette,Midwest Regional,3,1,2238.0,74.6,806.0,1605.0,0.502,190.0,543.0,0.35,434.0,683.0,0.635,306.0,10.2,704.0,23.467,1011.0,33.7,530.0,17.667,242.0,8.067,123.0,4.1,445.0,14.833,539.0,17.967,2.0,25.0,5.0,0.833,13.0,3.0,0.812,2195.0,78.393,762.0,1575.0,0.484,162.0,427.0,0.379,509.0,661.0,0.77,337.0,12.036,643.0,22.964,980.0,35.0,457.0,16.321,168.0,6.0,103.0,3.679,370.0,13.214,521.0,18.607,3.0,25.0,3.0,0.893,14.0,2.0,0.875,43.0,-3.7930000000000064,44.0,30.0,0.018000000000000016,28.0,116.0,-0.029000000000000026,-75.0,22.0,-0.135,-31.0,-1.8360000000000003,61.0,0.5030000000000001,31.0,-1.2999999999999972,73.0,1.346,74.0,2.067,20.0,0.4209999999999998,75.0,1.6189999999999998,18.0,-0.6400000000000006,-1.0,0.0,2.0,-0.06000000000000005,-1.0,1.0,-0.06299999999999994
2003,Kentucky,Marquette,Midwest Regional,4,1,2481.0,77.531,911.0,1868.0,0.488,189.0,531.0,0.356,470.0,665.0,0.707,380.0,11.875,720.0,22.5,1101.0,34.406,519.0,16.219,248.0,7.75,166.0,5.188,447.0,13.969,557.0,17.406,1.0,27.0,5.0,0.844,16.0,0.0,1.0,2195.0,78.393,762.0,1575.0,0.484,162.0,427.0,0.379,509.0,661.0,0.77,337.0,12.036,643.0,22.964,980.0,35.0,457.0,16.321,168.0,6.0,103.0,3.679,370.0,13.214,521.0,18.607,3.0,25.0,3.0,0.893,14.0,2.0,0.875,286.0,-0.8619999999999948,149.0,293.0,0.0040000000000000036,27.0,104.0,-0.02300000000000002,-39.0,4.0,-0.06300000000000006,43.0,-0.1609999999999996,77.0,-0.46399999999999864,121.0,-0.5940000000000012,62.0,-0.10200000000000031,80.0,1.75,63.0,1.509,77.0,0.754999999999999,36.0,-1.2010000000000005,-2.0,2.0,2.0,-0.049000000000000044,2.0,-2.0,0.125
2003,Arizona,Vermont,West Regional,1,0,2386.0,85.214,851.0,1841.0,0.462,197.0,564.0,0.349,491.0,700.0,0.701,401.0,14.321,753.0,26.893,1154.0,41.214,493.0,17.607,240.0,8.571,118.0,4.214,412.0,14.714,497.0,17.75,1.0,25.0,3.0,0.893,17.0,1.0,0.944,2290.0,69.394,840.0,1863.0,0.451,182.0,524.0,0.347,428.0,643.0,0.666,391.0,11.848,828.0,25.091,1218.0,36.909,475.0,14.394,224.0,6.788,100.0,3.03,477.0,14.455,524.0,15.879,16.0,21.0,12.0,0.636,11.0,5.0,0.688,96.0,15.819999999999993,11.0,-22.0,0.01100000000000001,15.0,40.0,0.0020000000000000018,63.0,57.0,0.03499999999999992,10.0,2.472999999999999,-75.0,1.8019999999999996,-64.0,4.305,18.0,3.212999999999999,16.0,1.7829999999999995,18.0,1.1840000000000006,-65.0,0.25900000000000034,-27.0,1.8710000000000004,-15.0,4.0,-9.0,0.257,6.0,-4.0,0.256
2003,Cincinnati,Gonzaga,West Regional,1,1,1885.0,67.321,641.0,1587.0,0.404,187.0,546.0,0.342,416.0,603.0,0.69,307.0,10.964,624.0,22.286,932.0,33.286,344.0,12.286,144.0,5.143,119.0,4.25,294.0,10.5,531.0,18.964,8.0,16.0,12.0,0.571,9.0,7.0,0.562,2389.0,77.065,808.0,1719.0,0.47,222.0,591.0,0.376,551.0,762.0,0.723,335.0,10.806,746.0,24.065,1082.0,34.903,488.0,15.742,211.0,6.806,109.0,3.516,443.0,14.29,578.0,18.645,9.0,24.0,7.0,0.774,12.0,2.0,0.857,-504.0,-9.744,-167.0,-132.0,-0.06599999999999995,-35.0,-45.0,-0.033999999999999975,-135.0,-159.0,-0.03300000000000003,-28.0,0.15800000000000125,-122.0,-1.779,-150.0,-1.6169999999999973,-144.0,-3.4560000000000013,-67.0,-1.6630000000000003,10.0,0.734,-149.0,-3.789999999999999,-47.0,0.31899999999999906,-1.0,-8.0,5.0,-0.20300000000000007,-3.0,5.0,-0.29499999999999993
2003,Notre Dame,Milwaukee,West Regional,1,0,2483.0,80.097,844.0,1881.0,0.449,257.0,675.0,0.381,538.0,708.0,0.76,317.0,10.226,774.0,24.968,1091.0,35.194,523.0,16.871,231.0,7.452,175.0,5.645,394.0,12.71,503.0,16.226,5.0,23.0,8.0,0.742,10.0,6.0,0.625,2397.0,77.323,851.0,1789.0,0.476,238.0,670.0,0.355,457.0,662.0,0.69,309.0,9.968,666.0,21.484,975.0,31.452,528.0,17.032,272.0,8.774,111.0,3.581,458.0,14.774,622.0,20.065,12.0,24.0,7.0,0.774,13.0,3.0,0.812,86.0,2.774000000000001,-7.0,92.0,-0.02699999999999997,19.0,5.0,0.026000000000000023,81.0,46.0,0.07000000000000006,8.0,0.2580000000000009,108.0,3.483999999999998,116.0,3.742000000000001,-5.0,-0.16100000000000136,-41.0,-1.3219999999999992,64.0,2.0639999999999996,-64.0,-2.0639999999999983,-119.0,-3.839000000000002,-7.0,-1.0,1.0,-0.03200000000000003,-3.0,3.0,-0.18700000000000006
2003,Illinois,Western Kentucky,West Regional,1,0,2263.0,75.433,813.0,1692.0,0.48,223.0,608.0,0.367,414.0,571.0,0.725,256.0,8.533,724.0,24.133,980.0,32.667,549.0,18.3,210.0,7.0,94.0,3.133,392.0,13.067,574.0,19.133,4.0,23.0,7.0,0.767,11.0,5.0,0.688,2370.0,74.062,838.0,1805.0,0.464,246.0,670.0,0.367,449.0,679.0,0.661,366.0,11.438,723.0,22.594,1088.0,34.0,463.0,14.469,228.0,7.125,115.0,3.594,479.0,14.969,592.0,18.5,13.0,24.0,8.0,0.75,12.0,2.0,0.857,-107.0,1.3710000000000093,-25.0,-113.0,0.01599999999999996,-23.0,-62.0,0.0,-35.0,-108.0,0.06399999999999995,-110.0,-2.905000000000001,1.0,1.538999999999998,-108.0,-1.3329999999999984,86.0,3.8310000000000013,-18.0,-0.125,-21.0,-0.46099999999999985,-87.0,-1.9019999999999992,-18.0,0.6329999999999991,-9.0,-1.0,-1.0,0.017000000000000015,-1.0,3.0,-0.16900000000000004
