year,team0,team1,region,round,winner
2006,Monmouth,Hampton,none,0,0
2006,Villanova,Monmouth,Midwest Regional,1,0
2006,Arizona,Wisconsin,Midwest Regional,1,0
2006,Nevada,Montana,Midwest Regional,1,1
2006,Boston College,Pacific,Midwest Regional,1,0
2006,Oklahoma,Milwaukee,Midwest Regional,1,1
2006,Florida,South Alabama,Midwest Regional,1,0
2006,Georgetown,Northern Iowa,Midwest Regional,1,0
2006,Ohio State,Davidson,Midwest Regional,1,0
2006,Villanova,Arizona,Midwest Regional,2,0
2006,Boston College,Montana,Midwest Regional,2,0
2006,Florida,Milwaukee,Midwest Regional,2,0
2006,Ohio State,Georgetown,Midwest Regional,2,1
2006,Villanova,Boston College,Midwest Regional,3,0
2006,Florida,Georgetown,Midwest Regional,3,0
2006,Villanova,Florida,Midwest Regional,4,1
2006,Memphis,Oral Roberts,West Regional,1,0
2006,Arkansas,Bucknell,West Regional,1,1
2006,Pittsburgh,Kent State,West Regional,1,0
2006,Kansas,Bradley,West Regional,1,1
2006,Indiana,San Diego State,West Regional,1,0
2006,Gonzaga,Xavier,West Regional,1,0
2006,Marquette,Alabama,West Regional,1,1
2006,UCLA,Belmont,West Regional,1,0
2006,Memphis,Bucknell,West Regional,2,0
2006,Pittsburgh,Bradley,West Regional,2,1
2006,Gonzaga,Indiana,West Regional,2,0
2006,UCLA,Alabama,West Regional,2,0
2006,Memphis,Bradley,West Regional,3,0
2006,UCLA,Gonzaga,West Regional,3,0
2006,Memphis,UCLA,West Regional,4,1
2006,UConn,Albany,East Regional,1,0
2006,Kentucky,UAB,East Regional,1,0
2006,Washington,Utah State,East Regional,1,0
2006,Illinois,Air Force,East Regional,1,0
2006,Michigan State,George Mason,East Regional,1,1
2006,North Carolina,Murray State,East Regional,1,0
2006,Wichita State,Seton Hall,East Regional,1,0
2006,Tennessee,Winthrop,East Regional,1,0
2006,UConn,Kentucky,East Regional,2,0
2006,Illinois,Washington,East Regional,2,1
2006,North Carolina,George Mason,East Regional,2,1
2006,Tennessee,Wichita State,East Regional,2,1
2006,UConn,Washington,East Regional,3,0
2006,Wichita State,George Mason,East Regional,3,1
2006,UConn,George Mason,East Regional,4,1
2006,Duke,Southern,South Regional,1,0
2006,George Washington,UNC Wilmington,South Regional,1,0
2006,Syracuse,Texas A&M,South Regional,1,1
2006,LSU,Iona,South Regional,1,0
2006,West Virginia,Southern Illinois,South Regional,1,0
2006,Iowa,Northwestern State,South Regional,1,1
2006,California,NC State,South Regional,1,1
2006,Texas,Pennsylvania ,South Regional,1,0
2006,Duke,George Washington,South Regional,2,0
2006,LSU,Texas A&M,South Regional,2,0
2006,West Virginia,Northwestern State,South Regional,2,0
2006,Texas,NC State,South Regional,2,0
2006,Duke,LSU,South Regional,3,1
2006,Texas,West Virginia,South Regional,3,0
2006,Texas,LSU,South Regional,4,1
2006,Florida,George Mason,none,5,0
2006,UCLA,LSU,none,5,0
2006,UCLA,Florida,none,6,1
