year,team0,team1,region,round,winner
2015,Ole Miss,Brigham Young,none,0,0
2015,Manhattan,Hampton,none,0,1
2015,North Florida,Robert Morris,none,0,1
2015,Boise State,Dayton,none,0,1
2015,Kentucky,Hampton,Midwest Regional,1,0
2015,Cincinnati,Purdue,Midwest Regional,1,0
2015,West Virginia,Buffalo,Midwest Regional,1,0
2015,Maryland,Valparaiso,Midwest Regional,1,0
2015,Butler,Texas,Midwest Regional,1,0
2015,Notre Dame,Northeastern,Midwest Regional,1,0
2015,Wichita State,Indiana,Midwest Regional,1,0
2015,Kansas,New Mexico State,Midwest Regional,1,0
2015,Kentucky,Cincinnati,Midwest Regional,2,0
2015,Maryland,West Virginia,Midwest Regional,2,1
2015,Notre Dame,Butler,Midwest Regional,2,0
2015,Kansas,Wichita State,Midwest Regional,2,1
2015,Kentucky,West Virginia,Midwest Regional,3,0
2015,Notre Dame,Wichita State,Midwest Regional,3,0
2015,Kentucky,Notre Dame,Midwest Regional,4,0
2015,Wisconsin,Coastal Carolina,West Regional,1,0
2015,Oregon,Oklahoma State,West Regional,1,0
2015,Arkansas,Wofford,West Regional,1,0
2015,North Carolina,Harvard,West Regional,1,0
2015,Xavier,Ole Miss,West Regional,1,0
2015,Baylor,Georgia State,West Regional,1,1
2015,VCU,Ohio State,West Regional,1,1
2015,Arizona,Texas Southern,West Regional,1,0
2015,Wisconsin,Oregon,West Regional,2,0
2015,North Carolina,Arkansas,West Regional,2,0
2015,Xavier,Georgia State,West Regional,2,0
2015,Arizona,Ohio State,West Regional,2,0
2015,Wisconsin,North Carolina,West Regional,3,0
2015,Arizona,Xavier,West Regional,3,0
2015,Wisconsin,Arizona,West Regional,4,0
2015,Villanova,Lafayette,East Regional,1,0
2015,NC State,LSU,East Regional,1,0
2015,Northern Iowa,Wyoming,East Regional,1,0
2015,Louisville,UC Irvine,East Regional,1,0
2015,Providence,Dayton,East Regional,1,1
2015,Oklahoma,Albany,East Regional,1,0
2015,Michigan State,Georgia,East Regional,1,0
2015,Virginia,Belmont,East Regional,1,0
2015,Villanova,NC State,East Regional,2,1
2015,Louisville,Northern Iowa,East Regional,2,0
2015,Oklahoma,Dayton,East Regional,2,0
2015,Virginia,Michigan State,East Regional,2,1
2015,Louisville,NC State,East Regional,3,0
2015,Oklahoma,Michigan State,East Regional,3,1
2015,Louisville,Michigan State,East Regional,4,1
2015,Duke,Robert Morris,South Regional,1,0
2015,San Diego State,St. John's,South Regional,1,0
2015,Utah,Stephen F. Austin,South Regional,1,0
2015,Georgetown,Eastern Washington,South Regional,1,0
2015,Southern Methodist,UCLA,South Regional,1,1
2015,Iowa State,UAB,South Regional,1,1
2015,Iowa,Davidson,South Regional,1,0
2015,Gonzaga,North Dakota State,South Regional,1,0
2015,Duke,San Diego State,South Regional,2,0
2015,Georgetown,Utah,South Regional,2,1
2015,UCLA,UAB,South Regional,2,0
2015,Gonzaga,Iowa,South Regional,2,0
2015,Duke,Utah,South Regional,3,0
2015,Gonzaga,UCLA,South Regional,3,0
2015,Duke,Gonzaga,South Regional,4,0
2015,Kentucky,Wisconsin,none,5,1
2015,Duke,Michigan State,none,5,0
2015,Duke,Wisconsin,none,6,0
