year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2019,DePaul,515,182,371,38,114,113,146,66,155,221,75,37,30,74,94
2019,South Florida,440,150,346,51,142,89,131,67,167,234,80,54,21,91,114
2019,Green Bay,437,162,329,46,122,67,96,65,139,204,89,32,20,78,96
2019,Texas Tech,426,153,335,45,128,75,99,42,156,198,69,42,29,61,94
2019,Virginia,415,154,341,50,150,57,78,62,147,209,80,31,27,53,74
2019,Lipscomb,406,141,304,47,121,77,96,42,136,178,99,27,20,64,77
2019,Auburn,403,141,304,58,152,63,91,43,114,157,68,39,21,45,95
2019,Texas Southern,383,141,284,28,81,73,107,52,118,170,74,38,15,69,70
2019,Texas,364,128,298,53,135,55,87,42,139,181,78,30,21,50,87
2019,Michigan State,345,127,286,37,109,54,69,53,136,189,71,23,19,56,72
2019,Marshall,331,122,271,30,103,57,83,39,138,177,52,32,27,39,56
2019,Purdue,322,110,225,54,123,48,77,37,121,158,56,12,14,40,65
2019,Hampton,314,106,253,28,80,74,89,41,135,176,52,21,11,45,62
2019,Gonzaga,311,115,242,30,86,51,73,53,115,168,67,29,23,52,73
2019,Duke,304,120,245,31,85,33,52,41,103,144,65,24,25,42,56
2019,TCU,285,104,232,27,91,50,77,43,107,150,63,22,17,45,55
2019,Coastal Carolina,277,102,214,35,86,38,54,45,73,118,45,18,2,30,53
2019,Wichita State,276,101,240,29,93,45,63,44,125,169,47,16,24,56,68
2019,Kentucky,274,100,215,16,60,58,79,47,110,157,44,21,9,49,63
2019,NC State,255,97,212,23,69,38,56,51,72,123,38,14,14,30,51
2019,Tennessee,254,92,193,29,70,41,62,36,78,114,41,18,15,32,61
2019,North Carolina,249,95,203,23,71,36,47,49,91,140,50,15,3,41,45
2019,Florida State,224,81,187,17,59,45,57,34,86,120,37,29,16,33,54
2019,Presbyterian,216,78,179,33,89,27,37,21,81,102,47,21,2,32,51
2019,Houston,216,80,173,20,68,36,50,30,81,111,43,21,8,24,57
2019,Indiana,215,81,184,18,61,35,60,32,86,118,43,17,12,29,48
2019,LSU,211,76,187,17,62,42,58,35,78,113,32,17,10,30,37
2019,Colorado,209,72,170,18,57,47,57,25,87,112,36,11,7,34,42
2019,Creighton,207,79,174,24,78,25,42,26,81,107,49,21,13,45,44
2019,Virginia Tech,206,69,167,20,52,48,61,30,69,99,40,23,4,29,43
2019,Cal State Bakersfield,201,76,196,9,45,40,55,48,69,117,20,13,7,29,63
2019,Oregon,194,72,155,29,65,21,27,25,71,96,34,18,14,30,43
2019,Louisiana-Monroe ,189,68,139,23,56,30,39,22,55,77,37,15,4,25,32
2019,Loyola Marymount,184,73,173,17,50,21,27,27,63,90,47,26,9,29,46
2019,Michigan,182,65,157,13,57,39,53,26,90,116,37,16,6,36,37
2019,Longwood,179,61,120,31,61,26,34,16,45,61,37,12,3,17,33
2019,West Virginia,168,60,145,16,54,32,41,36,50,86,34,13,7,22,24
2019,Robert Morris,168,62,145,23,64,21,29,33,43,76,33,19,7,18,25
2019,Kansas,162,61,120,14,41,26,30,22,58,80,25,10,5,28,36
2019,N.J.I.T.,162,57,135,17,49,31,40,21,46,67,22,12,4,12,31
2019,Texas-RGV,159,59,133,16,46,25,38,21,40,61,42,18,10,22,29
2019,Belmont,158,55,118,18,51,30,41,12,57,69,29,8,8,16,28
2019,Iowa,156,52,112,18,43,34,48,20,47,67,23,7,4,26,36
2019,Florida International,155,53,124,10,45,39,60,23,44,67,22,20,8,29,34
2019,Xavier,154,60,134,14,46,20,36,28,64,92,31,11,3,20,32
2019,UNC Greensboro,153,57,125,17,55,22,34,18,48,66,17,14,8,24,32
2019,Nebraska,152,54,117,12,38,32,44,25,48,73,35,11,4,15,33
2019,UCF,149,54,111,18,32,23,31,17,59,76,28,11,11,26,30
2019,Utah Valley,149,51,117,15,43,32,44,28,57,85,29,9,6,39,32
2019,Buffalo,149,50,112,19,54,30,48,26,48,74,26,14,2,31,42
2019,Baylor,149,53,112,20,55,23,31,21,37,58,30,13,7,22,37
2019,Arizona State,148,48,109,8,34,44,53,12,56,68,24,14,6,32,40
2019,Harvard,148,54,108,10,43,30,37,21,55,76,21,7,12,33,39
2019,Southern Utah,147,43,110,12,47,49,71,20,67,87,22,7,11,28,36
2019,Brown,146,46,103,24,60,30,36,13,45,58,33,11,9,31,35
2019,Oklahoma,146,53,111,14,35,26,32,12,48,60,24,13,3,11,23
2019,Maryland,146,51,132,15,50,29,43,29,54,83,24,9,11,17,31
2019,Murray State,145,50,117,16,36,29,45,21,54,75,30,14,7,25,22
2019,Arkansas,144,48,112,18,47,30,41,17,53,70,30,11,16,25,41
2019,Memphis,141,55,119,8,32,23,29,13,46,59,26,22,10,28,35
2019,North Dakota State,140,46,110,17,49,31,38,14,49,63,19,1,5,19,31
2019,Wofford,140,47,110,21,55,25,32,15,41,56,21,6,6,18,31
2019,Norfolk State,140,51,144,19,57,19,32,35,51,86,19,19,5,22,39
2019,Liberty,138,42,99,22,56,32,39,11,50,61,27,6,5,22,30
2019,Washington,137,48,111,19,46,22,31,13,38,51,22,17,11,27,28
2019,Minnesota,136,47,117,13,49,29,40,16,35,51,17,12,4,11,28
2019,Charleston Southern,135,55,124,7,44,18,26,19,58,77,28,11,4,27,34
2019,Fairleigh Dickinson,131,45,105,15,42,26,42,23,47,70,20,8,12,34,24
2019,Clemson,130,42,109,10,32,36,51,23,46,69,16,16,15,23,24
2019,UC Irvine,124,42,101,14,41,26,32,21,46,67,16,11,4,29,25
2019,Villanova,122,44,107,19,58,15,20,14,39,53,18,10,3,17,22
2019,Ohio State,121,42,107,15,49,22,30,18,49,67,24,11,2,25,32
2019,Florida,119,43,108,14,44,19,24,14,43,57,21,13,5,18,32
2019,East Tennessee State,94,33,66,13,33,15,18,14,17,31,21,6,4,13,21
2019,New Orleans,89,33,82,7,33,16,19,19,25,44,22,8,4,18,26
2019,Cornell,89,35,59,10,25,9,10,4,28,32,22,4,4,20,17
2019,Central Michigan,86,32,64,11,29,11,20,7,22,29,19,9,2,13,14
2019,Cal State Northridge,84,32,78,7,28,13,20,15,19,34,21,16,3,7,25
2019,Davidson,81,30,59,12,26,9,11,8,21,29,23,7,1,15,18
2019,Texas State,81,30,66,6,21,15,21,16,26,42,12,7,2,15,20
2019,Quinnipiac,81,30,61,10,25,11,15,10,24,34,9,3,2,7,22
2019,Alabama,79,29,69,11,30,10,17,16,29,45,17,5,6,16,12
2019,Stony Brook,79,25,65,9,28,20,24,11,34,45,14,10,8,20,30
2019,Hofstra,78,27,65,7,26,17,19,9,23,32,16,7,6,9,17
