year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2004,UConn,3073,1154,2402,249,619,516,828,555,1105,1659,680,233,315,526,619
2004,Duke,2954,1018,2159,263,722,655,890,432,1096,1528,521,332,238,488,697
2004,Georgia Tech,2911,1038,2213,267,729,586,847,393,943,1336,579,339,172,559,794
2004,Murray State,2730,994,2008,231,669,507,723,383,1163,1545,636,270,146,469,613
2004,Oklahoma State,2698,1002,1952,166,441,528,760,374,819,1193,566,271,128,462,655
2004,Xavier,2635,908,2058,284,756,535,777,404,850,1254,494,252,83,452,616
2004,Troy,2624,934,2103,364,1015,392,544,435,708,1142,548,354,119,344,445
2004,East Tennessee State,2618,940,2052,201,582,525,762,365,842,1207,505,382,192,511,554
2004,Arizona,2614,942,1937,219,568,511,650,400,761,1160,561,206,135,442,481
2004,Niagara,2611,863,1930,216,660,669,902,460,813,1273,493,221,151,457,631
2004,Wake Forest,2590,881,1846,236,611,590,829,406,735,1140,486,277,95,447,639
2004,Nevada,2579,901,1991,172,495,605,830,436,865,1301,478,218,154,440,623
2004,Washington,2543,890,1903,201,569,562,788,388,719,1107,501,224,91,464,664
2004,Gonzaga,2536,899,1765,196,493,542,726,336,825,1160,556,192,116,412,499
2004,Texas,2529,904,2046,227,610,494,726,493,832,1324,447,219,125,385,645
2004,IU Indy,2504,845,1855,242,658,572,812,389,751,1140,433,201,72,409,588
2004,Kansas,2503,895,1922,188,562,525,744,379,861,1240,572,232,165,482,658
2004,Texas Tech,2490,925,1986,125,371,521,703,383,749,1131,505,269,110,420,558
2004,UTEP,2479,834,1746,155,395,612,815,296,736,1031,524,220,85,366,569
2004,Maryland,2477,891,2016,166,489,529,838,429,1119,1548,419,258,207,451,631
2004,Saint Joseph's,2476,866,1822,313,775,431,613,282,695,977,523,291,111,364,544
2004,Villanova,2471,852,1887,251,676,516,714,374,795,1169,492,209,145,557,668
2004,North Carolina,2464,877,1915,195,551,515,749,402,1026,1427,518,274,117,439,554
2004,Chattanooga,2463,861,1751,231,615,510,693,345,704,1048,535,250,72,476,516
2004,Iowa State,2461,925,1983,154,418,457,700,405,787,1192,474,264,143,485,564
2004,Cincinnati,2455,867,1849,237,608,484,722,394,754,1147,512,238,167,385,614
2004,Rice,2446,867,1826,171,488,541,761,328,732,1059,492,274,114,516,609
2004,Pittsburgh,2446,904,1921,150,490,488,747,430,820,1249,523,214,166,435,531
2004,Pepperdine,2446,863,1879,222,613,498,696,364,683,1047,439,218,77,374,604
2004,Western Michigan,2434,845,1840,217,585,527,731,409,682,1090,474,277,82,408,600
2004,Boise State,2431,852,1901,221,638,506,686,380,748,1128,461,209,108,421,569
2004,Vanderbilt,2414,844,1860,261,711,471,663,352,805,1157,547,244,110,411,576
2004,UAB,2414,880,1916,217,659,435,655,357,696,1053,565,369,115,427,674
2004,Illinois,2402,887,1897,231,658,399,573,368,710,1078,566,225,125,385,615
2004,Texas-San Antonio,2400,813,1896,234,648,540,775,372,787,1159,421,251,99,544,635
2004,Milwaukee,2395,838,1757,214,575,505,714,377,741,1117,521,209,114,469,648
2004,South Carolina,2383,846,1934,224,687,465,690,389,768,1156,499,299,180,448,608
2004,Alabama,2380,813,1801,233,615,521,734,354,770,1124,392,204,111,408,597
2004,Toledo,2379,837,1794,225,576,482,671,314,678,991,458,240,76,460,679
2004,Saint Mary's,2377,807,1729,222,593,541,750,409,778,1186,387,204,96,497,594
2004,Charlotte,2374,812,1747,232,682,518,799,431,775,1205,484,261,90,454,566
2004,Florida,2369,829,1718,249,660,463,617,269,725,994,482,198,91,432,584
2004,Kentucky,2365,862,1816,204,571,437,627,355,751,1106,502,245,108,462,585
2004,George Mason,2364,825,1875,211,645,503,745,351,752,1103,455,281,101,501,593
2004,Stanford,2361,853,1766,168,461,487,650,355,805,1160,510,206,140,445,573
2004,Florida State,2359,815,1860,296,788,433,631,352,769,1120,493,289,123,516,627
2004,Rhode Island,2342,847,2001,177,520,471,696,497,831,1328,425,235,107,481,620
2004,Michigan,2341,823,1831,192,572,498,717,356,787,1142,444,257,156,498,590
2004,Hawaii,2338,869,1876,195,558,403,560,351,704,1054,550,210,105,437,558
2004,Georgia Southern,2337,821,1876,218,626,476,692,383,687,1070,495,319,127,465,639
2004,Oregon,2323,787,1721,280,708,469,648,278,671,948,501,162,60,465,584
2004,Mississippi State,2318,822,1762,198,558,476,717,410,750,1160,416,279,131,449,490
2004,Boston College,2312,819,1798,126,382,546,803,389,790,1178,537,236,101,429,535
