year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2024,UConn,486,188,373,41,136,69,92,70,166,236,118,34,34,43,98
2024,Purdue,459,168,345,43,114,80,113,64,165,229,113,25,17,60,62
2024,Indiana State,439,149,295,54,149,87,110,32,127,159,104,29,10,49,80
2024,Alabama,431,147,312,59,139,78,112,61,126,187,72,24,29,53,98
2024,Seton Hall,401,150,315,43,112,58,67,45,130,175,79,42,32,53,65
2024,NC State,352,131,290,31,94,59,81,38,136,174,74,30,22,45,75
2024,Utah,339,124,251,51,111,40,61,20,115,135,86,19,18,37,57
2024,Clemson,308,113,238,29,89,53,75,29,107,136,64,21,12,38,80
2024,Seattle,302,103,228,29,80,67,87,40,105,145,43,30,7,46,56
2024,Illinois,298,108,242,34,99,48,75,38,97,135,64,22,14,36,54
2024,Georgia,296,111,256,35,94,39,58,27,107,134,49,26,19,45,51
2024,Tennessee,293,101,247,36,99,55,72,40,98,138,63,26,17,36,71
2024,Duke,275,91,216,31,83,62,85,39,100,139,58,29,14,36,66
2024,North Carolina,262,91,198,31,76,49,59,34,74,108,43,17,12,21,45
2024,Ohio State,246,87,204,22,63,50,64,37,83,120,57,17,14,32,44
2024,Gonzaga,243,95,177,24,55,29,40,26,73,99,55,11,7,28,43
2024,High Point,241,89,190,17,65,46,60,33,75,108,30,10,12,28,49
2024,Arkansas State,240,87,196,20,70,46,68,43,67,110,44,17,13,28,44
2024,Tarleton State,240,88,190,23,70,41,55,27,77,104,55,24,9,29,35
2024,Colorado,239,86,168,20,55,47,55,20,65,85,60,19,7,32,43
2024,Creighton,238,81,179,36,79,40,47,27,91,118,40,7,11,34,41
2024,Houston,237,85,168,24,65,43,69,30,57,87,44,22,17,28,53
2024,Arizona,235,83,192,26,81,43,62,33,86,119,50,27,18,32,51
2024,UNLV,231,89,175,21,55,32,45,20,77,97,43,15,11,30,30
2024,Cincinnati,228,84,185,31,80,29,46,26,85,111,39,14,14,34,36
2024,Marquette,226,87,184,26,88,26,46,21,70,91,49,26,21,31,34
2024,Iowa State,218,79,172,24,50,36,46,24,70,94,46,27,9,23,50
2024,Fort Wayne,217,82,190,26,77,27,34,27,74,101,41,24,7,36,43
2024,Fairfield,217,78,170,28,83,33,45,17,66,83,41,21,5,30,35
2024,San Diego State,206,74,168,23,67,35,47,29,66,95,35,27,12,36,51
2024,VCU,194,66,167,26,82,36,45,21,74,95,37,18,14,34,47
2024,Texas A&M,193,64,146,21,46,44,65,35,46,81,28,8,10,19,45
2024,Iowa,173,62,128,18,44,31,44,17,54,71,37,10,9,21,34
2024,Kansas,161,62,128,15,40,22,36,20,51,71,45,10,9,25,35
2024,Oregon,160,59,124,14,37,28,35,18,55,73,29,12,10,18,29
2024,Norfolk State,156,59,117,15,38,23,33,19,52,71,29,19,3,20,26
2024,Baylor,156,54,111,22,54,26,40,18,44,62,24,14,4,22,31
2024,Utah State,155,56,124,17,46,26,31,11,41,52,31,15,13,17,33
2024,Oakland,153,51,131,27,66,24,38,22,47,69,29,9,4,12,31
2024,Wake Forest,153,53,122,9,40,38,48,15,53,68,17,12,9,17,29
2024,Chicago State,151,55,119,13,46,28,36,23,40,63,20,16,5,15,34
2024,South Florida,148,49,109,17,44,33,43,16,50,66,24,10,2,25,33
2024,Virginia Tech,147,52,118,12,39,31,37,11,57,68,31,11,2,23,35
2024,Alabama A&M ,147,53,112,9,28,32,41,18,55,73,25,10,9,31,32
2024,Montana,143,56,114,15,41,16,21,16,52,68,31,9,8,29,27
2024,North Texas,142,51,122,19,51,21,30,23,41,64,27,18,4,19,22
2024,Grambling State,138,53,121,7,22,25,33,13,43,56,22,14,10,16,33
2024,Michigan State,138,53,113,16,39,16,21,17,48,65,20,10,4,24,35
2024,Minnesota,137,55,120,12,39,15,25,17,47,64,33,17,4,25,26
2024,Grand Canyon,136,39,105,7,38,51,73,21,50,71,15,18,17,25,34
2024,Yale,135,44,106,16,39,31,45,10,32,42,23,18,2,21,33
2024,Northwestern,135,51,128,12,38,21,25,20,46,66,28,17,1,20,30
2024,Duquesne,134,51,117,12,35,20,26,17,35,52,27,11,8,18,34
2024,Wagner,133,52,113,15,35,14,24,10,38,48,24,10,7,15,29
2024,Boston College,132,51,120,16,42,14,19,19,52,71,26,8,4,14,28
2024,Abilene Christian,132,50,110,15,46,17,28,13,49,62,26,9,7,27,31
2024,Dayton,131,45,105,15,43,26,30,7,46,53,25,15,5,26,31
2024,Bradley,131,48,112,9,38,26,32,13,50,63,22,11,9,23,25
2024,James Madison,127,42,106,9,35,34,53,20,47,67,19,19,10,26,37
2024,Cleveland State,125,49,127,10,37,17,31,17,50,67,23,17,6,18,26
2024,Washington State,122,43,106,12,37,24,31,21,51,72,21,8,12,25,29
2024,Evansville,121,49,110,13,41,10,18,9,39,48,20,19,5,29,37
2024,Texas,114,42,110,8,37,22,29,13,52,65,9,14,5,26,28
2024,Colorado State,111,43,105,11,38,14,20,19,66,85,21,4,4,29,33
2024,Florida,100,35,68,11,25,19,22,10,17,27,22,8,5,8,22
2024,Charleston,96,32,78,10,33,22,29,14,23,37,16,8,3,10,22
2024,Southern Methodist,92,31,65,10,22,20,27,12,19,31,11,6,2,10,27
2024,Samford,89,30,73,16,37,13,23,9,21,30,23,7,1,7,20
2024,Bethune-Cookman,85,35,72,5,12,10,14,8,19,27,12,9,5,6,21
2024,Cornell,83,33,67,12,33,5,6,5,24,29,26,6,3,8,20
2024,Nebraska,83,27,59,7,22,22,24,5,19,24,15,5,2,10,17
2024,Kansas State,82,33,69,8,30,8,16,11,26,37,16,8,1,13,20
2024,Montana State,81,30,58,13,30,8,15,5,22,27,18,9,3,10,18
2024,Presbyterian,79,31,70,6,24,11,19,8,23,31,10,13,2,8,12
2024,Princeton,77,31,68,12,37,3,6,5,16,21,15,13,2,8,14
2024,UCF,77,28,64,9,25,12,23,12,20,32,6,8,1,11,24
2024,LSU,77,27,60,11,23,12,12,10,22,32,15,9,4,12,14
2024,Auburn,76,27,53,7,20,15,22,9,25,34,11,6,3,14,25
2024,Appalachian State,76,31,67,7,27,7,8,6,21,27,14,4,4,8,20
2024,Xavier,76,28,60,8,20,12,15,7,28,35,15,5,5,15,16
2024,Kentucky,76,26,61,9,28,15,20,10,28,38,17,2,6,11,18
2024,Bowling Green,75,28,58,5,20,14,18,7,25,32,14,6,5,13,10
2024,UC San Diego,75,28,56,10,19,9,18,9,22,31,14,4,2,11,17
2024,Little Rock,75,30,60,10,22,5,7,7,25,32,17,5,2,16,13
2024,UC Irvine,75,30,73,6,18,9,14,15,25,40,11,7,1,6,18
2024,South Carolina,73,25,56,11,24,12,19,6,18,24,17,3,3,10,22
2024,Saint Joseph's,72,30,69,10,38,2,3,7,23,30,18,10,5,16,12
2024,San Francisco,72,28,66,9,22,7,11,6,30,36,20,7,3,11,14
2024,TCU,72,24,67,7,22,17,22,18,17,35,13,6,4,13,13
2024,Butler,72,28,59,8,20,8,11,7,23,30,19,5,4,14,11
2024,Texas Southern,71,27,64,7,23,10,12,6,23,29,9,7,2,9,18
2024,Austin Peay,71,24,67,6,29,17,22,10,18,28,10,10,1,9,17
2024,Western Kentucky,69,28,69,8,24,5,6,12,30,42,17,5,4,18,15
2024,Morehead State,69,26,65,11,30,6,8,6,19,25,14,7,0,6,13
2024,Howard,68,22,57,7,24,17,21,6,21,27,13,5,1,7,12
2024,Colgate,67,26,57,5,18,10,14,8,14,22,11,10,3,8,12
2024,Texas Tech,67,24,62,7,31,12,14,9,21,30,15,3,2,9,20
2024,Brigham Young,67,22,57,8,24,15,17,8,24,32,16,6,2,11,18
2024,Delaware State,66,26,55,2,9,12,15,5,22,27,14,8,2,17,17
2024,Saint Mary's,66,26,67,7,25,7,12,11,24,35,16,7,1,11,21
2024,Florida Atlantic ,65,22,57,5,27,16,21,6,27,33,10,9,5,21,17
2024,UAB,65,20,53,7,20,18,24,8,14,22,10,7,2,14,18
2024,Long Beach State,65,24,72,3,17,14,22,13,31,44,11,6,3,12,14
2024,South Dakota State,65,23,53,10,24,9,11,6,18,24,15,4,2,15,13
2024,McNeese State,65,23,69,5,22,14,19,13,18,31,10,7,2,6,16
2024,Texas A&M-CC,63,21,66,2,24,19,30,16,23,39,9,10,2,10,16
2024,Quinnipiac,63,24,64,7,23,8,14,13,21,34,14,10,3,16,13
2024,Loyola (IL),62,23,62,6,25,10,17,16,22,38,8,7,2,12,19
2024,Villanova,61,21,51,6,23,13,20,3,26,29,11,8,0,12,13
2024,Wisconsin,61,19,51,8,21,15,23,8,28,36,13,6,3,19,19
2024,Drake,61,25,59,5,15,6,14,8,24,32,18,7,3,8,21
2024,Nevada,60,25,58,7,22,3,6,8,22,30,13,8,2,12,14
2024,Akron,60,25,66,6,28,4,6,9,17,26,8,5,1,4,20
2024,Richmond,58,23,61,6,22,6,9,6,20,26,12,3,3,8,17
2024,Providence,57,21,52,6,24,9,10,7,24,31,8,6,5,12,13
2024,New Mexico,56,19,64,3,23,15,23,15,24,39,6,4,2,13,16
2024,Boise State,53,23,67,2,18,5,6,15,21,36,4,5,1,9,17
2024,Stetson,52,17,55,3,20,15,20,10,20,30,6,6,4,14,12
2024,Mississippi State,51,20,54,6,27,5,10,10,14,24,13,9,2,14,11
2024,Saint Peter's,49,16,55,4,24,13,19,7,11,18,3,4,1,6,22
2024,Northern Colorado,49,19,58,2,23,9,12,5,34,39,7,7,1,12,10
2024,Vermont,47,20,52,5,20,2,6,5,18,23,12,8,3,11,19
2024,Longwood,46,14,41,3,13,15,16,4,10,14,9,4,1,18,16
2024,Virginia,42,14,56,3,17,11,17,5,16,21,6,4,1,3,15
