year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2023,Gonzaga,3187,1188,2282,279,737,532,768,360,960,1320,601,268,127,392,613
2023,UAB,3149,1112,2463,276,778,649,876,470,1024,1494,551,314,166,474,664
2023,UConn,3064,1082,2333,353,973,547,719,474,998,1472,684,245,190,493,692
2023,Southern Utah,3064,1064,2286,313,887,623,859,359,1004,1363,485,268,125,480,680
2023,Florida Atlantic ,3035,1084,2326,375,1024,492,684,390,1051,1441,562,252,100,452,613
2023,Alabama,3027,1023,2314,366,1093,615,848,457,1128,1585,555,224,189,503,691
2023,Xavier,2995,1109,2256,274,703,503,708,340,979,1319,705,236,120,452,593
2023,Toledo,2989,1057,2138,302,764,573,744,315,806,1121,517,238,98,332,564
2023,Texas,2963,1083,2289,274,790,523,699,341,896,1237,614,299,136,421,663
2023,Miami (FL),2925,1058,2205,278,755,531,677,355,869,1224,535,270,115,405,527
2023,Oral Roberts,2915,1058,2231,375,1027,424,548,286,950,1236,514,238,186,321,453
2023,Furman,2911,1016,2129,340,988,539,727,326,877,1203,600,238,115,392,604
2023,Eastern Kentucky,2909,1098,2487,318,927,395,599,453,931,1384,552,296,176,436,584
2023,Arizona,2866,1023,2072,295,781,525,742,326,976,1302,662,213,110,463,593
2023,Utah Valley,2863,1022,2200,242,728,577,780,357,1090,1447,594,239,242,502,646
2023,Fairleigh Dickinson,2863,1045,2312,302,876,471,626,387,808,1195,545,295,74,418,696
2023,Marquette,2856,1056,2174,322,912,422,588,287,791,1078,624,330,108,384,582
2023,Indiana State,2855,1008,2088,340,959,499,647,222,949,1171,570,235,69,427,587
2023,Creighton,2828,1014,2164,319,902,481,614,281,1018,1299,581,185,152,415,486
2023,Charleston,2804,959,2202,348,1051,538,723,432,899,1331,478,259,109,414,590
2023,Texas A&M-CC,2803,971,2152,268,736,593,749,379,843,1222,536,296,60,439,665
2023,Southeast Missouri State,2789,958,2191,286,875,587,828,314,892,1206,497,251,115,462,767
2023,Youngstown State,2785,1017,2088,271,743,480,616,316,818,1134,520,238,94,368,550
2023,Memphis,2778,1004,2096,215,609,555,743,326,848,1174,546,301,158,464,637
2023,Cincinnati,2776,1022,2281,314,894,418,592,366,911,1277,559,226,142,378,570
2023,San Diego State,2775,986,2251,271,778,532,737,386,948,1334,504,262,151,431,634
2023,Houston,2770,1010,2203,284,835,466,636,441,932,1373,544,293,182,355,618
2023,Missouri,2762,988,2092,325,904,461,608,282,709,991,558,357,95,374,631
2023,New Mexico,2749,983,2043,192,545,591,800,289,898,1187,466,229,134,376,574
2023,UCLA,2743,1033,2245,227,651,450,616,388,846,1234,538,310,142,353,573
2023,Kansas State,2742,961,2083,258,752,562,751,318,854,1172,611,289,100,489,644
2023,Utah State,2736,947,1975,325,840,517,678,272,911,1183,585,175,117,419,589
2023,Colgate,2733,1042,2038,286,709,363,549,257,870,1127,638,248,100,349,438
2023,Kansas,2715,1002,2142,251,724,460,639,319,901,1220,590,317,139,439,597
2023,Grand Canyon,2706,933,2018,323,843,517,722,330,925,1255,452,177,115,419,648
2023,Pittsburgh,2704,930,2081,325,903,519,684,324,901,1225,506,185,147,391,585
2023,Chattanooga,2702,924,2042,398,1057,456,639,294,898,1192,536,200,121,400,551
2023,Rice,2693,956,2052,308,875,473,641,275,898,1173,533,208,85,440,540
2023,Liberty,2689,963,2031,376,1007,387,532,263,886,1149,580,226,82,362,540
2023,Penn State,2673,978,2111,385,995,332,449,208,934,1142,508,161,79,316,572
2023,Arkansas,2666,961,2062,179,572,565,810,339,861,1200,462,302,182,452,694
2023,Kent State,2665,957,2128,275,818,476,656,349,825,1174,432,309,138,391,659
2023,Vanderbilt,2661,930,2187,310,922,491,690,379,876,1255,429,187,168,382,604
2023,Milwaukee,2659,944,2062,267,774,504,681,375,879,1254,472,236,186,508,610
2023,Iona,2658,979,2135,247,683,453,619,367,820,1187,520,261,192,359,568
2023,Tennessee-Martin,2658,945,2058,255,771,513,711,313,911,1224,450,249,114,387,603
2023,James Madison,2658,933,2019,263,751,529,748,364,822,1186,444,298,87,427,583
2023,UMass Lowell,2653,965,1995,236,619,487,662,380,873,1253,486,237,164,459,572
2023,NC State,2643,982,2181,281,810,398,551,353,838,1191,434,266,152,317,592
2023,Iowa,2642,941,2077,265,779,495,671,363,782,1145,541,216,112,321,488
2023,Wright State,2637,1031,2077,205,574,370,502,275,870,1145,495,207,99,414,514
2023,Howard,2634,934,2038,282,754,484,679,370,804,1174,523,252,109,563,614
2023,TCU,2634,965,2128,197,636,507,725,373,824,1197,565,281,166,405,578
2023,Louisiana,2630,950,1972,239,635,491,720,345,833,1178,489,244,102,409,577
2023,Kennesaw State,2626,931,2021,286,783,478,723,296,860,1156,502,276,96,426,631
2023,Baylor,2619,880,1957,323,878,536,720,356,723,1079,483,223,82,407,590
2023,Hofstra,2619,1001,2084,303,826,314,425,247,872,1119,504,218,148,372,503
2023,UC Irvine,2617,969,2082,247,656,432,600,306,919,1225,518,245,87,423,666
2023,Drake,2617,952,2032,278,751,435,567,255,936,1191,478,187,92,354,522
2023,Marshall,2616,986,2120,264,781,380,548,366,811,1177,561,288,169,368,526
2023,Indiana,2616,994,2043,200,544,428,602,292,899,1191,533,203,177,396,599
2023,Eastern Washington,2607,931,1901,300,837,445,589,289,889,1178,523,176,107,458,591
2023,UNC Asheville,2604,897,1890,274,707,536,772,260,886,1146,446,221,140,476,541
2023,Ohio,2602,945,2063,295,791,417,571,374,795,1169,412,221,73,365,585
2023,Duke,2592,936,2072,245,732,475,620,407,926,1333,526,204,163,425,549
2023,San Francisco,2591,883,1976,349,967,476,635,296,820,1116,436,230,85,456,629
2023,Montana State,2588,879,1876,216,642,614,814,267,819,1086,438,229,104,411,641
2023,West Virginia,2583,882,1953,248,708,571,769,358,746,1104,441,227,104,430,632
2023,Northern Arizona,2581,930,2123,295,815,426,576,320,804,1124,484,185,53,370,649
2023,Brigham Young,2568,913,2008,276,812,466,650,337,855,1192,501,251,135,472,659
2023,Portland,2566,836,1837,317,845,577,774,249,783,1032,488,164,75,416,580
2023,Queens University,2564,878,1977,305,873,503,698,341,838,1179,456,204,72,401,531
2023,Arizona State,2559,910,2163,274,851,465,675,354,886,1240,515,255,170,413,668
2023,St. John's,2552,970,2159,193,583,419,599,402,869,1271,500,272,123,451,535
2023,Providence,2552,901,1975,218,630,532,717,365,825,1190,482,226,147,374,495
2023,Texas A&M,2549,835,1932,217,666,662,872,402,817,1219,439,235,82,420,637
2023,Tennessee,2547,908,2097,276,840,455,643,426,879,1305,601,297,130,412,596
2023,Purdue,2543,884,1936,239,743,536,720,402,897,1299,542,166,129,378,479
2023,Oregon,2542,916,2043,256,799,454,653,366,912,1278,477,201,175,431,529
2023,Clemson,2540,899,1923,282,775,460,586,236,914,1150,484,175,107,370,589
2023,Santa Clara,2538,919,2026,275,742,425,604,322,879,1201,460,196,125,410,519
2023,Ohio State,2538,948,2052,239,650,403,545,333,850,1183,410,181,132,360,573
2023,Kentucky,2532,929,2045,213,613,461,653,423,845,1268,512,219,125,383,545
2023,Wake Forest,2528,878,1909,315,866,457,613,239,826,1065,444,199,90,386,528
2023,Detroit-Mercy,2527,876,2024,338,875,437,569,396,748,1144,413,202,64,381,529
2023,Long Beach State,2524,949,2086,146,494,480,708,386,883,1269,494,245,108,463,563
2023,Lipscomb,2521,943,1983,266,748,369,496,261,870,1131,466,177,92,387,460
2023,Virginia Tech,2521,931,1982,281,786,378,514,258,811,1069,528,177,107,333,526
2023,Samford,2519,832,1833,290,822,565,756,295,793,1088,374,260,83,398,598
2023,Texas-RGV,2518,868,1852,222,655,560,802,303,819,1122,505,151,104,506,641
2023,North Carolina,2514,866,1997,234,751,548,739,338,912,1250,395,177,128,349,555
2023,Western Carolina,2513,871,2015,289,849,482,674,290,877,1167,428,183,88,350,588
2023,Cleveland State,2512,958,2110,178,580,418,614,396,772,1168,465,242,119,389,582
2023,UC Santa Barbara,2510,924,1875,194,556,468,644,258,811,1069,495,222,87,385,562
2023,Pacific,2502,868,1920,297,761,469,651,232,741,973,419,179,84,381,628
2023,Norfolk State,2501,876,1854,225,664,524,704,337,796,1133,424,234,122,419,598
2023,Southern Indiana,2500,868,1999,320,854,444,662,365,835,1200,420,237,77,428,604
2023,Tennessee State,2499,868,1935,281,804,482,694,302,785,1087,426,187,105,397,654
2023,Radford,2496,931,2023,235,654,399,579,340,802,1142,426,252,103,406,606
2023,Utah Tech,2495,828,1802,285,749,554,787,304,775,1079,434,219,74,492,647
2023,Michigan,2494,898,1994,261,744,437,615,276,912,1188,414,158,157,347,527
2023,Saint Louis,2493,921,1970,230,646,421,576,313,881,1194,543,166,132,390,558
2023,South Alabama,2483,955,2036,266,770,307,447,216,860,1076,399,212,151,331,512
2023,Southeastern Louisiana,2483,889,1942,248,672,457,616,291,748,1039,453,233,58,386,557
2023,Houston Christian,2482,851,1863,265,726,515,717,303,730,1033,474,184,88,484,575
2023,Buffalo,2481,906,2000,224,696,445,632,346,808,1154,470,254,102,450,602
2023,VCU,2480,864,1867,212,610,540,776,294,809,1103,456,311,160,459,575
2023,Tulane,2478,861,1873,241,713,515,663,172,797,969,485,262,130,346,510
2023,Auburn,2474,875,1991,221,701,503,723,356,797,1153,479,263,172,405,655
2023,Bradley,2473,917,1989,276,777,363,546,314,874,1188,465,238,136,405,565
2023,Saint Mary's,2473,888,1951,263,720,434,625,334,830,1164,436,240,122,352,579
2023,Duquesne,2472,897,2052,302,826,376,542,380,740,1120,505,266,124,389,614
2023,Vermont,2471,901,1901,292,816,377,541,202,812,1014,465,200,98,308,504
2023,Wofford,2466,906,1916,247,748,407,552,291,760,1051,412,188,68,357,468
2023,Northwestern State,2463,900,2024,278,770,385,547,360,682,1042,415,273,79,382,605
2023,Akron,2463,844,1899,300,845,475,643,301,806,1107,443,199,87,364,528
2023,UC Riverside,2463,906,2047,284,784,367,526,347,823,1170,450,175,61,406,629
2023,SIU-Edwardsville,2463,834,1917,236,718,559,767,341,824,1165,407,228,141,408,576
2023,Oklahoma State,2458,875,2046,247,797,461,664,364,897,1261,452,204,174,498,611
2023,Sam Houston State,2454,894,1961,277,731,389,575,360,828,1188,460,279,73,430,606
2023,Illinois,2452,874,1946,251,815,453,667,348,851,1199,409,229,186,418,559
2023,North Texas,2452,854,1957,284,809,460,609,369,840,1209,428,246,112,423,619
2023,Boise State,2451,878,1938,265,733,430,587,284,882,1166,385,171,97,370,555
2023,St. Thomas-Minnesota,2447,847,1895,297,844,456,581,250,741,991,426,196,77,324,574
2023,Belmont,2447,898,1902,307,791,344,474,248,761,1009,488,225,101,362,499
2023,North Alabama,2446,892,1949,252,682,410,578,251,820,1071,378,193,101,362,551
2023,Tarleton State,2446,847,1868,163,477,589,837,286,698,984,437,330,96,410,694
2023,Colorado,2445,894,2059,229,712,428,616,361,876,1237,454,261,128,457,566
2023,Ball State,2445,841,1785,240,651,523,759,309,782,1091,422,176,123,381,525
2023,George Washington,2441,869,1849,228,710,475,644,262,802,1064,406,182,109,396,526
2023,Maryland,2440,862,1925,233,710,483,660,317,799,1116,398,191,131,365,560
2023,Southern Mississippi,2436,881,1937,230,714,444,622,329,805,1134,488,276,87,398,545
2023,UCF,2432,848,1980,295,835,441,572,361,771,1132,469,261,129,435,566
2023,Tennessee Tech ,2432,860,1967,302,829,410,570,286,805,1091,476,207,80,402,527
2023,Stephen F. Austin,2427,867,1834,203,532,490,684,316,725,1041,482,284,83,475,685
2023,Texas Southern,2422,894,2095,163,588,471,709,373,863,1236,412,235,116,499,657
2023,Pepperdine,2417,898,1930,253,699,368,518,268,799,1067,469,168,117,435,548
2023,Princeton,2416,867,1906,272,796,410,576,301,891,1192,429,156,106,379,512
2023,Troy,2414,858,1945,255,798,443,632,326,765,1091,447,288,86,416,559
2023,Army West Point,2412,885,1853,252,718,390,570,259,831,1090,432,168,70,412,532
2023,Michigan State,2411,879,1944,252,642,401,528,275,874,1149,497,161,101,358,557
2023,Charlotte,2410,885,1871,291,772,349,465,207,813,1020,470,199,90,366,489
2023,North Dakota State,2404,866,1904,247,735,425,597,261,879,1140,370,130,98,375,509
2023,Nevada,2397,799,1794,238,678,561,708,218,829,1047,474,197,100,334,592
