year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2013,Louisville,2978,1048,2300,230,691,652,920,518,920,1438,584,430,168,497,727
2013,Michigan,2932,1093,2260,296,769,450,642,384,930,1314,565,239,108,368,496
2013,Indiana,2831,951,1971,257,637,672,904,416,913,1329,514,256,130,469,598
2013,Santa Clara,2827,970,2195,303,840,584,803,431,857,1288,560,301,173,466,747
2013,Syracuse,2816,1007,2293,233,696,569,843,521,949,1470,563,361,247,497,637
2013,Baylor,2811,1002,2179,257,728,550,796,415,910,1325,587,243,166,440,632
2013,Weber State,2800,990,1957,266,640,554,768,316,981,1297,518,195,165,457,623
2013,Kansas,2782,985,2049,216,594,596,809,387,1025,1412,575,260,247,517,619
2013,Iowa State,2779,962,2111,346,924,509,696,400,896,1296,560,223,97,459,593
2013,Ole Miss,2779,977,2230,238,735,587,866,452,906,1358,450,297,185,408,606
2013,Duke,2778,960,2033,270,676,588,796,318,849,1167,515,232,135,383,645
2013,Brigham Young,2777,999,2188,213,630,566,777,406,941,1347,575,291,89,434,678
2013,VCU,2770,1010,2243,281,800,469,669,464,725,1189,521,422,109,419,708
2013,North Carolina,2760,1023,2321,272,723,442,655,464,877,1341,616,303,117,440,538
2013,Southern Mississippi,2733,985,2058,245,645,518,746,451,832,1283,551,356,101,545,705
2013,Iona,2733,956,2106,283,771,538,689,376,809,1185,523,222,101,420,582
2013,Wichita State,2720,954,2166,259,765,553,791,487,958,1445,530,289,177,491,700
2013,NC State,2708,985,1987,184,471,554,813,372,867,1239,511,227,147,433,545
2013,Gonzaga,2696,961,1934,226,609,548,777,391,878,1269,530,277,96,393,550
2013,Florida Gulf Coast,2696,976,2112,247,722,497,736,400,902,1302,523,331,139,545,648
2013,Maryland,2688,986,2124,219,646,497,732,442,1044,1486,551,195,166,569,633
2013,Memphis,2681,976,2071,220,592,509,771,413,890,1303,605,321,231,523,650
2013,Creighton,2680,942,1882,307,742,489,644,285,935,1220,609,174,92,443,588
2013,East Carolina,2679,922,2039,274,784,561,784,354,864,1218,603,279,156,441,618
2013,Long Island,2677,915,1908,246,647,601,871,379,782,1161,515,232,117,486,597
2013,Iowa,2665,903,2156,204,668,655,896,467,968,1435,573,263,183,476,647
2013,Oregon,2650,944,2110,192,577,570,809,427,910,1337,484,314,146,556,650
2013,Florida,2642,960,2010,300,794,422,623,379,873,1252,540,265,120,417,518
2013,Saint Mary's,2610,910,1939,273,728,517,713,397,850,1247,502,214,98,415,612
2013,UCLA,2604,961,2131,171,514,511,706,356,864,1220,559,283,127,390,525
2013,Ohio State,2597,927,2056,227,638,516,729,358,895,1253,493,248,162,385,590
2013,Missouri,2588,924,2015,215,635,525,706,442,906,1348,473,229,119,441,567
2013,George Mason,2587,922,2112,203,587,540,745,417,843,1260,473,280,103,515,773
2013,Eastern Kentucky,2586,888,1903,307,865,503,644,297,644,941,522,310,76,412,679
2013,Houston,2578,912,1965,199,551,555,782,386,858,1244,500,220,127,433,598
2013,Arizona,2570,880,1933,269,725,541,722,364,857,1221,476,234,134,458,583
2013,Detroit-Mercy,2568,908,1991,234,685,518,711,355,693,1048,481,273,112,360,588
2013,South Dakota State,2568,910,1939,270,694,478,627,317,859,1176,506,175,78,365,491
2013,Northwestern State,2559,919,2007,189,603,532,775,424,797,1221,489,307,151,448,618
2013,UC Irvine,2558,932,2151,249,746,445,669,396,979,1375,580,181,159,461,651
2013,Colorado State,2553,881,1961,180,532,611,855,467,898,1365,445,162,74,388,598
2013,Belmont,2533,906,1844,279,729,442,604,288,722,1010,516,322,88,438,604
2013,Arizona State,2512,902,1964,250,722,458,706,316,898,1214,497,222,211,445,552
2013,Miami (FL),2509,895,1968,254,701,465,680,350,897,1246,408,223,159,384,525
2013,Canisius,2499,857,1923,313,811,472,659,381,740,1121,432,198,111,449,577
2013,UNLV,2496,872,2002,227,689,525,747,396,960,1356,562,253,203,487,593
2013,Butler,2495,869,1931,239,688,518,744,382,882,1264,465,206,94,473,643
2013,Evansville,2490,900,2056,207,566,483,652,350,793,1143,574,213,106,404,635
2013,Davidson,2490,837,1813,256,694,560,704,290,815,1105,473,189,101,372,601
2013,Liberty,2489,838,1954,251,669,562,770,348,895,1243,443,197,105,479,684
2013,Kent State,2484,823,1921,241,669,597,842,401,789,1190,402,235,93,447,684
2013,Oral Roberts,2484,890,1931,165,467,539,730,384,819,1203,442,218,133,483,578
2013,Robert Morris,2480,825,1912,300,788,530,708,343,712,1055,491,313,92,451,685
2013,Louisiana Tech,2470,857,2092,253,787,503,722,441,812,1253,454,309,168,421,623
2013,Illinois,2465,858,2084,280,873,469,646,402,766,1168,365,245,142,411,648
2013,Ohio,2464,889,1908,268,764,418,598,291,741,1032,594,303,120,430,669
2013,Illinois State,2460,871,1914,242,697,476,658,331,792,1123,490,239,144,432,598
2013,Temple,2456,851,1986,243,740,511,707,362,755,1117,497,267,126,366,558
2013,Cal State Fullerton,2451,855,1819,266,704,475,627,256,662,918,472,248,52,401,595
2013,Notre Dame,2450,892,1929,228,617,438,618,363,857,1220,587,175,132,392,494
2013,La Salle,2450,871,1931,262,695,446,605,315,714,1029,481,263,119,389,520
2013,Michigan State,2448,882,1921,177,523,507,710,393,909,1302,474,289,140,489,579
2013,Southeast Missouri State,2446,880,1876,256,644,430,614,303,887,1190,522,173,159,423,605
2013,Oakland,2444,823,1886,239,673,559,790,337,685,1022,433,272,39,399,621
2013,Niagara,2436,837,1982,241,738,521,754,394,725,1119,424,262,89,380,652
2013,Tulane,2436,789,1896,224,641,634,872,430,775,1205,402,233,66,430,584
2013,Youngstown State,2426,853,1979,245,707,475,686,335,824,1159,504,231,182,398,578
