year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2022,North Carolina,480,164,395,55,162,97,133,90,196,286,93,23,26,70,90
2022,Kansas,457,170,368,43,108,74,110,62,183,245,88,33,31,59,97
2022,Duke,396,149,293,30,86,68,85,47,130,177,67,29,31,52,68
2022,Xavier,376,140,290,31,101,65,96,50,130,180,83,43,21,61,74
2022,Texas A&M,360,129,290,20,85,82,110,59,125,184,57,42,15,56,77
2022,UNC Wilmington,345,115,244,29,76,86,102,32,96,128,45,29,8,25,81
2022,Villanova,329,110,275,48,133,61,69,55,114,169,53,23,9,46,63
2022,Fresno State,315,113,226,39,95,50,80,33,104,137,59,32,17,40,61
2022,Middle Tennessee State,315,105,216,30,85,75,102,34,106,140,49,30,18,41,79
2022,Coastal Carolina,293,111,249,31,97,40,57,39,121,160,57,28,14,55,52
2022,Southern Utah,290,108,222,36,98,38,53,31,110,141,62,17,6,53,58
2022,St. Bonaventure,275,105,224,32,76,33,42,23,89,112,53,21,16,33,52
2022,Arkansas,271,93,241,23,82,62,75,29,111,140,47,26,15,36,68
2022,Washington State,271,93,250,32,109,53,74,51,116,167,46,27,18,40,62
2022,Saint Peter's,271,90,224,22,67,69,83,33,95,128,52,22,22,40,84
2022,Miami (FL),267,101,233,16,76,49,67,21,106,127,60,40,21,34,57
2022,Houston,266,97,226,26,83,46,71,50,93,143,48,25,19,38,61
2022,Gonzaga,243,90,193,19,66,44,74,37,99,136,50,12,16,29,50
2022,Abilene Christian,242,77,167,25,62,63,79,27,68,95,46,28,6,41,68
2022,Brigham Young,241,95,190,29,85,22,36,30,91,121,62,11,10,33,52
2022,Arizona,232,82,182,23,69,45,60,40,85,125,49,21,16,49,59
2022,Texas Tech,229,88,179,22,54,31,45,31,77,108,45,18,12,28,48
2022,Vanderbilt,225,78,183,24,74,45,61,34,79,113,36,13,11,27,51
2022,Northern Colorado,225,87,177,30,82,21,40,29,79,108,35,6,11,40,38
2022,Purdue,223,66,148,18,60,73,94,31,89,120,36,15,9,39,47
2022,South Alabama,221,85,178,23,67,28,49,30,72,102,48,24,15,38,43
2022,Notre Dame,220,83,178,25,63,29,42,21,74,95,38,19,5,34,34
2022,Michigan,206,74,163,16,48,42,56,27,86,113,41,12,16,38,34
2022,Providence,206,75,183,24,67,32,42,59,85,144,41,15,8,27,48
2022,Wake Forest,206,64,153,20,73,58,82,22,86,108,43,23,12,54,53
2022,UCLA,195,73,162,17,45,32,40,23,72,95,39,19,10,20,34
2022,Virginia,182,69,153,16,48,28,44,21,69,90,45,13,4,23,39
2022,Baylor,171,59,135,20,64,33,48,29,47,76,35,16,8,21,41
2022,Iowa State,169,65,182,19,73,20,30,35,75,110,42,30,11,42,62
2022,UNC Asheville,164,61,124,19,41,23,32,19,47,66,29,14,9,23,32
2022,VCU,164,57,114,15,37,35,43,16,49,65,27,16,9,26,39
2022,Wright State,163,53,130,18,46,39,51,20,49,69,32,16,7,22,34
2022,Florida Gulf Coast,163,61,124,24,67,17,27,17,55,72,28,13,4,28,35
2022,Drake,162,67,118,18,40,10,12,12,49,61,33,12,5,23,35
2022,Portland,160,55,118,22,52,28,39,16,47,63,40,12,8,29,31
2022,USC Upstate,159,53,121,19,45,34,38,21,44,65,29,15,2,23,37
2022,Oklahoma,157,59,121,23,51,16,19,17,50,67,34,11,8,23,25
2022,Tennessee,156,61,122,16,42,18,23,16,49,65,44,20,5,19,32
2022,Murray State,152,49,116,14,45,40,60,24,50,74,30,13,8,24,45
2022,Texas,152,54,125,20,47,24,34,19,34,53,33,14,6,14,51
2022,Ohio,151,51,117,11,45,38,55,22,43,65,19,15,5,22,31
2022,Northern Iowa,151,54,116,27,64,16,21,9,54,63,29,14,2,21,29
2022,Michigan State,150,55,124,18,48,22,27,22,44,66,28,7,9,14,33
2022,UTEP,149,56,125,16,51,21,25,17,57,74,30,12,7,18,26
2022,TCU,149,53,127,10,36,33,44,26,57,83,28,18,6,27,37
2022,Creighton,144,46,115,14,42,38,45,18,54,72,32,15,3,28,33
2022,Oregon,143,54,122,14,43,21,29,22,47,69,25,11,15,19,33
2022,Memphis,142,54,121,9,31,25,34,26,53,79,24,7,4,20,41
2022,Dayton,142,59,119,9,33,15,21,13,64,77,30,7,8,21,27
2022,Youngstown State,141,45,108,11,40,40,46,16,50,66,21,12,5,28,40
2022,Auburn,141,49,132,14,50,29,41,36,61,97,34,3,18,24,36
2022,Saint Mary's,138,51,109,17,42,19,27,18,46,64,28,11,4,19,30
2022,North Texas,136,48,113,19,51,21,32,25,48,73,27,8,7,22,35
2022,Florida,135,51,128,13,54,20,27,24,47,71,24,25,5,28,31
2022,Texas Southern,132,42,113,7,27,41,54,16,58,74,21,10,15,31,32
2022,Southern Methodist,131,45,116,8,43,33,37,19,63,82,24,12,7,26,29
2022,Indiana,119,44,115,4,23,27,38,21,46,67,18,8,5,21,40
2022,New Mexico State,118,41,103,17,43,19,23,12,50,62,20,8,5,30,31
2022,Richmond,118,45,110,6,39,22,37,16,47,63,23,6,7,18,27
