year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2012,Kentucky,3095,1096,2248,225,595,678,938,459,1033,1491,531,242,344,453,590
2012,North Carolina,3091,1134,2473,194,580,629,922,534,1086,1620,659,259,219,454,550
2012,Ohio State,2913,1057,2219,199,596,600,846,439,943,1382,568,281,125,459,630
2012,Oakland,2875,947,2104,335,895,646,877,347,781,1128,476,232,75,430,656
2012,Kansas,2867,1023,2169,222,643,597,863,407,999,1406,587,285,222,507,678
2012,Massachusetts,2847,1016,2341,288,825,527,783,445,903,1348,565,326,176,546,757
2012,Oregon State,2841,995,2093,221,616,630,931,378,804,1181,567,328,166,505,672
2012,Baylor,2839,1004,2148,259,676,572,759,423,879,1302,570,286,178,521,673
2012,Belmont,2831,975,2026,309,817,572,779,361,828,1189,606,255,78,430,628
2012,Missouri,2814,981,1945,293,737,559,730,294,761,1055,566,285,97,358,499
2012,New Mexico State,2812,970,2045,165,505,707,1058,488,892,1380,498,244,154,534,629
2012,Florida,2808,976,2106,357,939,499,700,372,844,1216,551,233,124,411,575
2012,Indiana,2782,949,1928,229,531,655,858,345,825,1170,487,233,115,463,632
2012,Creighton,2772,975,1935,287,677,535,737,304,887,1191,616,169,82,421,591
2012,Long Island,2769,920,1940,225,606,704,965,346,849,1195,500,206,113,545,530
2012,UNC Asheville,2745,920,1907,223,629,682,893,355,760,1114,566,283,88,456,612
2012,Syracuse,2740,1006,2156,233,668,495,709,418,791,1209,564,338,255,388,573
2012,Iona,2736,1021,2033,254,656,440,617,318,760,1078,638,241,71,414,559
2012,Louisville,2727,963,2281,233,733,568,826,473,972,1444,532,353,193,561,703
2012,Brigham Young,2727,977,2099,233,679,540,771,337,918,1254,599,296,154,473,636
2012,NC State,2697,977,2134,198,557,545,774,423,894,1317,577,249,150,470,621
2012,Pittsburgh,2692,981,2164,247,707,483,691,479,845,1323,593,183,103,495,669
2012,South Dakota State,2689,918,1963,284,728,569,783,322,784,1106,500,236,65,369,567
2012,UNLV,2671,942,2062,291,799,496,734,378,871,1248,616,299,169,466,604
2012,Stanford,2657,938,2107,252,665,529,794,400,873,1272,475,246,126,509,716
2012,Michigan State,2651,960,2012,200,555,531,759,394,936,1330,566,265,157,478,647
2012,Lehigh,2648,902,2030,254,726,590,768,347,817,1163,456,269,106,391,628
2012,Washington,2646,966,2157,217,633,497,798,466,864,1330,475,233,139,459,691
2012,Marquette,2638,919,2033,201,596,599,831,382,813,1195,580,304,122,461,619
2012,Virginia Military,2631,892,2006,283,888,564,784,307,700,1007,438,273,124,438,618
