year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2013,Louisville,477,169,326,32,92,107,154,67,123,190,74,65,24,64,124
2013,Santa Clara,471,160,344,45,133,106,145,55,129,184,84,50,20,79,127
2013,Michigan,452,170,352,49,124,63,95,64,142,206,94,41,14,64,66
2013,George Mason,451,151,349,36,109,113,149,77,143,220,81,45,9,92,115
2013,Baylor,430,149,284,34,82,98,134,38,132,170,107,32,21,48,91
2013,Weber State,379,136,265,42,105,65,92,36,134,170,84,25,14,54,75
2013,East Carolina,369,126,269,30,90,87,123,51,125,176,82,42,26,60,79
2013,Wichita State,359,118,279,35,100,88,115,65,125,190,61,35,25,57,98
2013,Iowa,343,116,291,31,91,80,104,60,111,171,73,34,17,53,85
2013,Brigham Young,329,114,254,33,93,68,86,51,113,164,75,19,12,41,75
2013,Syracuse,319,108,251,21,62,82,122,49,127,176,54,50,30,53,71
2013,Evansville,312,108,241,22,61,74,97,49,91,140,70,24,8,44,67
2013,Ohio State,312,100,233,28,71,84,106,32,97,129,53,24,20,36,77
2013,Northern Iowa,286,101,219,31,76,53,76,27,89,116,46,23,10,36,54
2013,Florida,278,95,211,23,66,65,99,44,89,133,51,35,11,47,52
2013,La Salle,277,99,209,34,80,45,62,25,80,105,50,21,12,39,61
2013,Duke,273,85,196,22,65,81,103,28,98,126,45,23,14,40,78
2013,Maryland,266,99,210,23,62,45,64,41,97,138,46,25,28,63,66
2013,Marquette,243,82,215,15,57,64,81,61,95,156,38,20,17,49,64
2013,Canisius,236,85,192,27,74,39,55,33,77,110,35,19,17,32,50
2013,Oral Roberts,234,79,171,10,40,66,92,31,77,108,32,22,11,38,56
2013,Bradley,229,81,181,19,58,48,63,35,70,105,46,19,8,27,51
2013,Providence,220,77,176,13,49,53,67,38,72,110,44,14,10,29,53
2013,Kansas,219,80,163,11,36,48,61,26,94,120,43,16,22,52,44
2013,Oregon,211,78,173,21,47,34,54,35,82,117,42,25,10,48,60
2013,Florida Gulf Coast,209,74,152,17,44,44,67,22,76,98,47,25,11,46,51
2013,Southern Mississippi,203,75,174,15,51,38,54,33,79,112,41,19,9,36,44
2013,Miami (FL),202,68,170,29,73,37,48,38,69,107,36,14,9,24,39
2013,Loyola (MD),201,66,161,16,57,53,70,36,70,106,39,18,14,38,57
2013,Western Michigan,199,70,169,14,50,45,56,29,72,101,28,28,12,51,55
2013,Virginia,199,63,136,18,46,55,83,25,71,96,42,24,16,44,48
2013,Wright State,198,72,147,16,44,38,51,20,70,90,41,13,3,41,46
2013,Michigan State,196,72,160,13,43,39,57,40,88,128,36,22,14,46,54
2013,Indiana,191,64,147,16,51,47,65,26,73,99,34,9,7,39,34
2013,Alabama,185,67,162,12,46,39,47,34,69,103,30,18,12,38,41
2013,Youngstown State,181,60,129,33,69,28,37,17,53,70,43,10,8,25,39
2013,Arizona State,169,52,105,16,36,49,59,26,52,78,34,11,8,40,49
2013,Houston,157,60,136,9,37,28,43,32,55,87,35,10,5,26,37
2013,Tulane,156,46,109,15,36,49,64,19,45,64,24,14,1,24,36
2013,Arizona,155,56,100,18,32,25,36,15,68,83,26,6,7,28,41
2013,Iowa State,151,52,111,21,46,26,35,17,45,62,33,8,1,22,33
2013,Minnesota,147,51,111,17,34,28,41,24,41,65,30,11,4,25,44
2013,Mercer,146,53,114,16,40,24,35,14,38,52,35,4,9,20,43
2013,UC Irvine,142,52,118,12,38,26,39,11,54,65,33,14,5,28,37
2013,Eastern Kentucky,141,45,96,23,53,28,41,8,44,52,26,21,2,31,43
2013,VCU,141,58,123,11,32,14,20,20,37,57,21,20,2,18,31
2013,San Diego State,141,51,117,14,38,25,30,24,49,73,31,15,9,28,22
2013,Colorado State,140,44,91,12,26,40,54,19,45,64,14,1,7,33,36
2013,Butler,140,44,111,14,41,38,47,19,50,69,21,13,11,19,32
2013,North Carolina,136,46,122,17,42,27,37,22,42,64,28,25,3,28,33
2013,Wyoming,134,49,105,14,36,22,32,9,43,52,21,13,5,30,32
2013,Stony Brook,134,53,107,11,28,17,31,12,48,60,25,15,5,28,32
2013,Gonzaga,134,44,114,16,43,30,44,31,45,76,27,14,2,23,33
2013,Kent State,132,38,118,10,35,46,66,35,45,80,16,8,3,20,38
2013,Illinois-Chicago,131,40,90,16,35,35,46,14,60,74,28,7,5,37,37
2013,Ole Miss,131,52,120,7,34,20,37,30,53,83,22,11,10,22,30
2013,James Madison,130,52,118,16,43,10,16,23,42,65,24,4,13,21,37
2013,Temple,128,45,112,10,42,28,41,15,40,55,21,10,8,15,33
2013,Robert Morris,127,43,95,16,41,25,29,10,25,35,24,14,2,22,47
2013,Richmond,127,45,97,13,39,24,36,12,41,53,17,14,5,27,34
2013,Air Force,126,45,110,19,49,17,25,20,44,64,31,10,2,26,33
2013,California,124,48,115,9,32,19,35,21,54,75,31,13,7,28,43
2013,Louisiana Tech,123,46,114,7,37,24,36,30,40,70,18,19,8,30,34
2013,Saint Louis,121,45,107,7,32,24,36,16,44,60,28,21,5,22,30
2013,North Carolina A&T,121,44,93,14,34,19,29,10,42,52,17,14,4,33,37
2013,Saint Mary's,119,40,104,11,29,28,39,23,45,68,18,7,0,20,34
2013,Harvard,119,38,100,13,36,30,39,14,43,57,23,10,4,21,34
2013,Rider,117,37,100,13,36,30,39,22,38,60,19,16,9,36,34
2013,Creighton,117,35,95,9,34,38,43,14,51,65,25,4,4,26,37
2013,Illinois,116,39,113,15,58,23,31,27,48,75,17,10,7,20,29
2013,Denver,113,42,91,7,28,22,42,13,35,48,25,18,12,24,32
2013,St. John's,113,49,124,5,23,10,16,21,44,65,24,15,11,21,37
2013,Memphis,102,39,113,10,37,14,28,19,41,60,20,16,17,26,36
2013,Oakland,87,31,66,7,15,18,23,8,24,32,12,6,0,12,18
2013,Purdue,81,31,53,7,11,12,13,9,20,29,19,7,3,12,13
2013,Charleston,77,24,47,9,21,20,22,9,13,22,11,1,2,13,11
2013,South Alabama,73,26,58,6,21,15,21,14,23,37,19,1,6,15,27
2013,Missouri,72,24,57,7,23,17,19,3,15,18,13,6,3,5,24
2013,NC State,72,29,52,4,13,10,16,7,27,34,14,3,2,13,24
2013,Liberty,72,23,54,10,23,16,18,5,24,29,15,4,3,10,17
2013,Tennessee State,72,29,73,7,32,7,7,13,22,35,16,10,5,17,18
2013,Bryant,71,25,52,8,19,13,17,3,23,26,15,5,0,14,17
2013,High Point,71,23,62,4,15,21,30,13,25,38,12,6,0,11,19
2013,Charleston Southern,71,23,60,14,36,11,19,11,18,29,16,11,1,14,17
2013,North Dakota State,71,26,61,7,22,12,12,12,22,34,14,5,5,14,20
2013,Fairfield,71,27,60,9,24,8,11,7,22,29,20,7,2,11,24
2013,Boise State,71,26,53,7,18,12,18,11,18,29,14,3,1,10,13
2013,Villanova,71,27,61,4,21,13,19,14,21,35,6,9,2,16,22
2013,Niagara,70,23,65,8,26,16,20,16,16,32,7,4,1,11,15
2013,Iona,70,23,65,6,28,18,21,9,23,32,13,4,2,19,18
2013,Chicago State,69,22,65,10,27,15,24,11,14,25,10,8,3,6,23
2013,Green Bay,69,27,61,4,14,11,14,8,26,34,18,5,4,12,22
2013,Georgetown,68,24,64,7,27,13,20,11,27,38,15,6,4,12,33
2013,Tennessee,67,22,58,7,24,16,24,19,19,38,10,3,4,10,18
2013,Vermont,67,25,59,7,23,10,15,14,15,29,15,3,1,16,23
2013,Western Illinois,67,26,52,7,15,8,12,5,13,18,15,8,0,9,12
2013,Lehigh,66,25,52,4,13,12,15,6,18,24,9,7,3,10,16
2013,Florida State,66,23,50,6,14,14,16,8,18,26,8,3,9,18,16
2013,North Dakota,66,22,54,5,16,17,22,7,20,27,9,9,3,14,24
2013,Charlotte,66,24,61,4,13,14,19,12,24,36,12,3,4,12,19
2013,Long Beach State,66,21,63,5,16,19,23,9,14,23,10,9,0,13,20
2013,Hawaii,65,22,52,5,23,16,23,11,22,33,13,6,6,15,10
2013,Savannah State,65,27,59,5,14,6,14,14,20,34,19,9,6,13,17
2013,Belmont,64,20,51,8,27,16,23,2,13,15,7,7,0,7,20
2013,UCLA,63,20,63,4,22,19,25,19,23,42,10,5,2,15,19
2013,Cincinnati,63,27,64,5,20,4,9,11,17,28,12,9,4,9,21
2013,New Mexico,62,21,56,3,14,17,24,13,18,31,8,12,1,10,17
2013,Gardner-Webb,62,24,59,4,19,10,15,11,23,34,17,8,2,22,19
2013,Albany,61,19,52,9,15,14,16,9,14,23,14,7,2,13,19
2013,UNLV,61,19,59,6,20,17,26,12,30,42,11,3,6,12,20
2013,Saint Joseph's,61,22,57,8,16,9,14,12,25,37,13,4,6,13,10
2013,Kansas State,61,24,57,4,13,9,17,13,17,30,12,6,7,9,14
2013,Stanford,58,21,52,7,16,9,13,10,23,33,11,6,4,13,15
2013,Massachusetts,58,22,60,6,26,8,8,9,23,32,16,12,5,19,15
2013,Notre Dame,58,22,51,4,17,10,13,9,24,33,9,2,2,17,11
