year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2016,North Carolina,514,188,374,41,102,97,121,91,140,231,96,35,28,60,109
2016,Villanova,501,181,311,56,112,83,102,35,138,173,88,53,20,62,85
2016,Nevada,495,156,327,39,91,144,191,58,164,222,86,22,34,71,103
2016,Morehead State,477,173,393,29,97,102,144,81,139,220,91,58,8,67,151
2016,George Washington,392,139,298,40,104,74,102,58,128,186,72,32,15,52,80
2016,Oklahoma,375,134,297,48,122,59,87,64,112,176,72,26,21,69,92
2016,Valparaiso,357,128,286,38,111,63,88,51,137,188,82,24,32,65,92
2016,Syracuse,342,118,286,35,100,71,99,67,118,185,48,41,34,52,68
2016,Brigham Young,335,117,251,36,89,65,92,39,114,153,66,37,21,51,66
2016,Kansas,316,116,233,21,64,63,81,39,119,158,62,21,19,50,79
2016,Oregon,310,108,233,26,88,68,94,43,110,153,53,16,20,38,67
2016,Columbia,308,101,228,43,110,63,80,46,108,154,68,22,16,42,57
2016,Virginia,304,115,220,26,67,48,65,27,109,136,78,18,22,35,56
2016,N.J.I.T.,290,107,234,40,97,36,53,31,107,138,74,20,21,50,62
2016,San Diego State,290,107,248,25,70,51,75,54,103,157,45,18,23,42,58
2016,UC Irvine,289,114,252,30,83,31,50,39,121,160,50,28,19,54,80
2016,Notre Dame,281,103,198,27,63,48,59,32,79,111,49,18,17,48,48
2016,Oakland,261,82,180,32,76,65,82,23,79,102,45,24,4,28,54
2016,Indiana,258,87,170,29,68,55,68,29,63,92,49,17,10,37,65
2016,Florida,248,92,197,29,75,35,49,33,77,110,50,26,6,27,53
2016,Texas A&M,247,85,192,20,78,57,86,41,96,137,39,25,5,46,54
2016,Coastal Carolina,243,84,237,30,96,45,70,48,115,163,38,22,22,47,57
2016,Iowa State,243,89,169,28,61,37,56,13,76,89,48,21,7,28,46
2016,Louisiana,242,84,192,22,62,52,72,41,80,121,41,17,9,25,43
2016,Creighton,241,87,177,21,60,46,68,36,92,128,46,16,8,38,52
2016,Ohio,238,78,175,23,68,59,70,16,99,115,39,19,11,34,42
2016,Duke,232,78,163,22,60,54,74,22,78,100,35,14,18,28,55
2016,Ball State,228,78,181,30,83,42,58,39,89,128,41,14,6,47,59
2016,Vermont,224,71,174,21,62,61,83,34,85,119,35,24,17,39,61
2016,Georgia Tech,220,84,170,21,48,31,40,32,76,108,44,8,12,36,49
2016,Maryland,215,67,148,15,66,66,78,15,78,93,27,17,17,33,58
2016,Miami (FL),213,70,139,22,44,51,70,20,66,86,28,21,11,42,51
2016,Gonzaga,210,82,172,23,57,23,32,32,87,119,44,18,13,46,46
2016,Old Dominion,207,80,176,16,53,31,43,36,78,114,44,20,6,24,45
2016,Grand Canyon,200,72,174,18,66,38,66,37,76,113,41,20,10,29,46
2016,Duquesne,192,59,112,21,53,53,72,20,59,79,35,6,7,28,55
2016,Wichita State,192,66,177,16,61,44,58,34,72,106,29,24,7,28,61
2016,Washington,185,62,140,9,32,52,69,31,50,81,27,13,9,25,46
2016,Saint Mary's,179,72,161,19,60,16,30,21,78,99,45,13,9,31,40
2016,East Tennessee State,169,60,137,24,61,25,36,19,67,86,30,11,10,33,40
2016,Wisconsin,169,65,169,18,66,21,34,32,79,111,29,17,12,35,47
2016,Virginia Tech,163,58,131,9,40,38,58,29,61,90,24,10,12,24,39
2016,Florida Gulf Coast,163,59,115,10,34,35,58,25,70,95,37,12,9,32,37
2016,Northern Iowa,163,48,112,20,54,47,59,10,54,64,23,11,6,23,45
2016,Monmouth,161,58,140,15,48,30,37,22,55,77,26,13,6,17,47
2016,Georgia,158,55,122,15,38,33,40,22,45,67,28,8,7,18,34
2016,VCU,156,57,122,15,51,27,37,22,55,77,29,10,5,25,41
2016,Tennessee-Martin,156,55,121,18,43,28,40,15,55,70,25,12,3,20,27
2016,South Carolina,154,62,120,14,41,16,22,15,45,60,37,9,12,19,27
2016,Florida State,153,54,123,6,28,39,50,22,54,76,28,13,7,23,33
2016,Kentucky,152,57,120,8,29,30,36,20,58,78,22,15,17,26,41
2016,Eastern Washington,149,50,127,27,63,22,31,20,52,72,25,7,7,13,31
