year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2010,Duke,3079,1048,2374,301,782,682,899,531,934,1465,555,264,162,427,721
2010,Kentucky,3012,1066,2228,231,697,649,970,504,993,1497,573,279,273,542,641
2010,Brigham Young,2992,1025,2120,292,700,650,823,316,920,1236,567,307,126,413,621
2010,Kansas State,2949,981,2182,253,703,734,1098,499,837,1336,541,274,187,518,825
2010,Kansas,2937,1033,2111,262,648,609,871,435,958,1393,609,301,232,466,656
2010,Washington,2851,1004,2212,191,568,652,905,434,849,1282,515,264,151,455,763
2010,Syracuse,2832,1042,2021,244,624,504,745,390,875,1264,673,336,221,528,514
2010,Morgan State,2813,960,2239,205,617,688,983,516,881,1396,461,243,152,494,781
2010,Xavier,2793,961,2082,250,664,621,873,393,951,1344,494,235,132,447,660
2010,Baylor,2771,993,2040,255,662,530,731,411,932,1343,509,237,242,491,638
2010,Appalachian State,2766,954,2006,279,703,579,785,383,977,1360,447,201,102,531,652
2010,Ohio,2763,925,2153,278,759,635,883,401,871,1272,524,278,97,468,696
2010,Texas,2761,1005,2158,195,567,556,878,462,893,1355,489,269,194,459,670
2010,North Carolina,2758,1012,2294,176,535,558,854,505,949,1453,576,250,209,556,564
2010,West Virginia,2752,942,2190,257,762,611,868,530,838,1368,589,213,155,434,685
2010,Murray State,2751,977,1960,226,599,571,821,415,832,1246,556,347,196,515,618
2010,Houston,2751,958,2282,290,814,545,768,394,697,1091,435,329,103,304,652
2010,Ole Miss,2743,986,2185,286,796,485,731,403,864,1267,486,259,184,421,660
2010,Ohio State,2740,983,1999,276,708,498,716,304,848,1152,545,262,157,417,565
2010,Rhode Island,2737,991,2227,235,705,520,745,429,733,1162,533,294,182,386,595
2010,VCU,2737,979,2121,253,693,526,747,417,839,1255,536,319,148,441,625
2010,Tennessee,2720,991,2174,218,681,520,775,393,874,1266,528,290,135,479,729
2010,Marshall,2717,949,1985,222,591,597,873,389,860,1248,549,216,268,429,613
2010,Nevada,2703,983,2040,222,613,515,704,341,844,1184,480,173,149,403,591
2010,California,2703,966,2028,228,609,543,717,346,797,1143,500,198,86,415,592
