year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2023,UConn,475,171,352,56,141,77,96,62,177,239,114,29,29,72,94
2023,San Diego State,397,148,365,34,107,67,102,65,158,223,61,29,28,62,102
2023,Miami (FL),384,131,297,35,94,87,105,53,125,178,57,35,10,47,66
2023,UAB,381,139,325,26,89,77,96,61,138,199,62,37,19,56,75
2023,Eastern Kentucky,356,140,285,35,88,41,61,45,94,139,50,29,16,42,54
2023,Florida Atlantic ,356,124,292,43,131,65,88,64,135,199,65,21,16,60,74
2023,North Texas,333,118,270,46,130,51,64,41,116,157,61,37,15,50,77
2023,Kansas State,326,123,235,30,82,50,68,19,76,95,75,43,11,39,78
2023,Utah Valley,324,123,260,26,72,52,71,38,131,169,63,21,17,50,55
2023,Texas,316,124,240,31,73,37,53,33,91,124,66,25,11,40,64
2023,Creighton,299,106,221,25,85,62,68,25,109,134,56,12,14,43,52
2023,Gonzaga,299,112,247,23,76,52,83,44,122,166,54,16,17,46,59
2023,Charlotte,275,97,198,35,92,46,58,18,90,108,56,28,8,34,42
2023,Wisconsin,271,94,227,24,87,59,73,29,103,132,45,18,7,30,58
2023,Southern Utah,259,95,208,36,88,33,51,28,101,129,43,17,13,43,43
2023,Michigan State,234,81,171,20,55,52,70,31,76,107,37,18,12,30,45
2023,Alabama,233,79,199,24,81,51,71,49,93,142,38,18,17,33,58
2023,UCLA,230,84,174,18,49,44,54,19,64,83,55,23,11,20,40
2023,Cincinnati,228,86,199,16,58,40,50,37,81,118,39,19,11,28,47
2023,Xavier,227,82,179,17,53,46,68,17,88,105,50,14,12,30,53
2023,Houston,219,74,175,20,69,51,59,28,77,105,40,10,20,28,55
2023,Fairleigh Dickinson,217,74,179,27,81,42,51,29,78,107,36,22,8,34,49
2023,Princeton,212,83,191,25,79,21,30,28,76,104,38,13,10,25,41
2023,Arkansas,210,68,184,11,42,63,82,37,63,100,19,25,9,32,63
2023,Oregon,210,74,169,23,68,39,68,29,95,124,42,14,17,38,42
2023,Oklahoma State,199,72,186,19,65,36,52,38,75,113,38,16,13,37,41
2023,Vanderbilt,196,72,185,21,77,31,44,32,71,103,27,18,15,30,46
2023,Radford,195,82,182,15,44,16,24,31,64,95,36,17,6,32,45
2023,Pittsburgh,192,62,165,21,58,47,64,20,80,100,31,15,13,28,49
2023,Tennessee,178,65,166,19,60,29,46,34,64,98,43,24,10,31,43
2023,Arizona State,168,60,107,19,38,29,42,10,50,60,31,8,11,18,38
2023,Kansas,167,62,123,14,35,29,38,21,45,66,31,18,11,24,34
2023,Rice,163,61,138,12,46,29,39,29,46,75,25,18,4,16,31
2023,Indiana State,155,57,116,18,49,23,29,7,58,65,29,12,5,33,28
2023,Michigan,155,55,108,16,35,29,35,15,57,72,24,4,6,26,30
2023,Hofstra,153,61,129,17,47,14,18,20,35,55,32,11,7,26,29
2023,TCU,153,52,129,17,48,32,47,24,50,74,30,9,10,14,44
2023,Milwaukee,152,53,126,11,47,35,40,22,55,77,19,12,7,29,35
2023,Baylor,150,57,114,13,44,23,35,18,40,58,19,10,6,19,34
2023,Texas A&M-CC,150,48,132,11,38,43,53,26,53,79,18,7,4,20,36
2023,Auburn,147,49,116,13,38,36,58,14,46,60,25,7,8,15,40
2023,Penn State,142,52,116,21,50,17,22,16,41,57,20,8,2,14,23
2023,Eastern Washington,141,51,117,18,54,21,27,19,51,70,28,17,9,26,29
2023,Indiana,140,55,125,13,39,17,25,22,48,70,24,13,14,19,27
2023,Missouri,139,52,114,16,47,19,25,11,46,57,26,16,6,17,33
2023,Northwestern,138,48,112,14,43,28,33,20,38,58,20,12,0,15,32
2023,Marquette,138,49,108,21,47,19,29,12,46,58,26,10,1,21,29
2023,San Jose State,134,49,120,14,43,22,28,26,52,78,20,9,7,21,31
2023,Colorado,134,50,116,14,37,20,27,17,52,69,24,11,8,22,28
2023,Liberty,133,46,107,18,53,23,36,10,51,61,25,7,6,20,37
2023,Kentucky,130,49,126,9,36,23,30,35,55,90,22,12,5,27,29
2023,Morehead State,127,44,122,18,66,21,24,11,51,62,25,8,3,13,25
2023,Duke,126,52,113,12,38,10,16,18,54,72,23,10,10,23,32
2023,UCF,121,48,117,11,45,14,18,19,50,69,15,24,5,29,33
2023,Furman,120,38,106,16,54,28,37,11,40,51,19,7,6,18,34
2023,Maryland,118,42,99,7,26,27,43,17,36,53,18,14,10,25,37
2023,Saint Mary's,118,39,98,7,31,33,46,12,43,55,22,14,7,17,32
2023,Sam Houston State,113,46,112,12,42,9,17,15,41,56,19,9,3,21,26
2023,Rutgers,86,35,69,8,20,8,13,12,16,28,18,7,3,10,14
2023,Stetson,83,28,77,8,33,19,25,21,36,57,11,6,3,15,22
2023,Toledo,80,32,73,8,24,8,13,10,16,26,13,6,3,4,14
2023,Duquesne,78,26,62,14,36,12,13,13,19,32,14,1,0,14,17
2023,Iowa,75,28,68,7,27,12,17,12,25,37,11,4,2,8,18
2023,Cleveland State,75,30,70,4,18,11,15,7,18,25,9,5,5,8,14
2023,Washington State,74,24,60,14,30,12,18,8,20,28,12,9,3,9,17
2023,Nevada,73,25,52,11,21,12,14,5,18,23,19,3,0,11,18
2023,Virginia Tech,72,30,66,6,26,6,8,6,21,27,15,3,1,8,15
2023,Southeast Missouri State,71,27,57,8,26,9,20,6,24,30,17,11,2,12,31
2023,Grand Canyon,70,28,65,9,24,5,7,7,18,25,11,5,0,7,16
2023,Tarleton State,70,24,54,5,10,17,20,11,18,29,10,9,3,15,17
2023,New Mexico,69,28,69,3,14,10,19,8,27,35,14,8,5,8,12
2023,Howard,68,26,67,10,32,6,10,13,22,35,18,8,1,18,14
2023,Kennesaw State,67,27,64,5,19,8,13,10,28,38,12,5,1,11,21
2023,Boise State,67,26,65,6,23,9,14,18,20,38,15,2,0,9,17
2023,Virginia,67,24,54,2,12,17,22,8,27,35,13,4,7,8,13
2023,Montana State,65,25,54,6,21,9,17,8,19,27,14,8,3,16,13
2023,Memphis,65,25,58,6,22,9,12,13,23,36,11,6,3,8,12
2023,Utah State,65,28,59,4,24,5,8,8,23,31,12,5,2,14,11
2023,West Virginia,65,22,56,8,19,13,16,9,17,26,7,6,2,10,24
2023,Seton Hall,64,22,60,4,18,16,18,9,27,36,12,5,1,6,16
2023,Youngstown State,64,22,62,8,28,12,14,7,22,29,10,6,5,8,17
2023,Clemson,64,25,61,6,28,8,14,8,30,38,13,5,5,7,13
2023,Iona,63,22,57,7,16,12,16,5,20,25,9,7,3,6,13
2023,Illinois,63,20,52,6,22,17,26,2,27,29,10,10,5,16,19
2023,NC State,63,24,64,3,14,12,15,8,26,34,3,4,1,6,18
2023,USC Upstate,62,26,69,5,24,5,9,10,26,36,5,8,9,7,11
2023,Yale,62,24,66,7,21,7,12,10,24,34,13,8,3,10,17
2023,USC,62,24,58,7,20,7,8,8,27,35,15,2,2,11,18
2023,Bradley,62,25,61,5,23,7,14,8,27,35,9,1,2,11,20
2023,Vermont,61,23,53,8,25,7,10,4,20,24,15,3,1,10,14
2023,Texas Southern,61,26,62,1,17,8,9,8,19,27,16,8,0,14,24
2023,Colgate,61,25,58,3,15,8,9,9,14,23,6,11,3,10,11
2023,Kent State,60,22,69,7,21,9,12,19,23,42,11,6,4,9,12
2023,Southern Mississippi,60,22,61,8,32,8,9,8,20,28,20,9,2,23,15
2023,Texas A&M,59,20,59,10,34,9,12,15,17,32,9,3,2,10,15
2023,Mississippi State,59,24,63,6,23,5,7,14,28,42,14,1,4,14,18
2023,Purdue,58,19,53,5,26,15,19,15,27,42,15,3,6,16,13
2023,UC Irvine,58,24,80,4,23,6,8,15,22,37,11,9,5,11,22
2023,Charleston,57,18,56,5,24,16,19,8,23,31,9,9,2,10,18
2023,Villanova,57,24,65,4,26,5,7,9,28,37,8,9,3,8,15
2023,Santa Clara,56,21,53,7,17,7,10,9,20,29,12,4,3,17,12
2023,Drake,56,22,55,7,24,5,8,2,33,35,15,4,3,12,19
2023,UC Santa Barbara,56,23,49,4,16,6,9,4,19,23,12,3,1,12,15
2023,Western Carolina,56,25,53,3,20,3,7,4,27,31,9,4,2,10,17
2023,Louisiana,55,22,55,6,18,5,9,6,17,23,12,8,0,14,19
2023,Arizona,55,24,57,3,16,4,7,7,30,37,10,5,1,13,14
2023,Alcorn State,53,17,55,5,16,14,22,14,20,34,6,8,1,8,15
2023,UNC Asheville,53,19,51,6,20,9,13,5,14,19,9,5,4,16,15
2023,Providence,53,21,58,5,24,6,11,8,23,31,12,5,1,10,16
2023,Southern Indiana,52,19,52,6,22,8,20,7,17,24,6,4,1,9,17
2023,Northern Kentucky,52,19,69,5,33,9,10,17,14,31,7,9,1,7,12
2023,Oral Roberts,51,19,63,8,32,5,8,8,20,28,10,3,5,9,8
2023,VCU,51,18,49,5,14,10,16,7,17,24,7,7,5,14,20
2023,North Alabama,50,20,67,7,24,3,6,11,36,47,6,6,5,15,15
2023,Florida,49,19,59,4,24,7,10,12,16,28,8,10,2,17,7
2023,Iowa State,41,14,60,2,21,11,19,13,20,33,7,8,3,8,22
