year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2012,Kentucky,488,167,324,30,70,124,169,60,162,222,81,27,45,67,98
2012,Pittsburgh,425,157,333,47,114,64,94,63,129,191,98,20,12,50,96
2012,Washington State,407,134,269,35,85,104,140,48,143,191,76,23,17,63,107
2012,Stanford,401,142,295,35,76,82,122,54,137,190,75,49,24,69,96
2012,Utah State,400,131,267,33,91,105,132,44,138,182,90,21,19,70,96
2012,Kansas,391,144,357,24,90,79,119,82,174,255,72,41,36,68,96
2012,Ohio State,371,119,277,34,90,99,128,60,122,182,59,36,23,64,84
2012,Mercer,345,113,268,43,107,76,92,48,129,176,77,34,17,69,87
2012,Minnesota,345,128,267,19,61,70,98,53,118,171,68,33,21,90,92
2012,Oakland,328,104,243,41,104,79,101,40,97,137,54,28,5,32,59
2012,Louisville,318,115,284,27,70,61,87,53,115,168,50,34,23,49,80
2012,Washington,315,108,242,31,89,68,96,57,95,151,64,24,15,48,70
2012,Massachusetts,314,117,265,23,78,57,89,60,100,159,45,33,19,54,87
2012,North Carolina,304,114,259,22,73,54,79,57,123,179,66,27,29,54,48
2012,Baylor,293,105,237,28,69,55,71,53,93,145,60,27,14,49,77
2012,Florida,291,104,213,29,98,54,75,40,119,158,56,19,16,50,52
2012,Oregon,290,100,187,26,65,64,83,28,69,96,63,16,11,25,62
2012,Syracuse,281,97,203,22,57,65,87,39,78,117,43,21,21,40,74
2012,Fairfield,263,103,214,10,47,47,79,41,83,123,57,41,15,47,67
2012,Loyola Marymount,241,79,189,23,68,60,81,43,82,124,37,23,11,48,56
2012,Oregon State,236,88,156,14,37,46,67,28,79,106,51,26,19,53,48
2012,Indiana,232,92,169,18,44,30,38,25,61,85,44,21,4,42,52
2012,Middle Tennessee State,229,81,166,11,36,56,83,35,80,115,46,18,10,43,63
2012,Drexel,216,79,161,19,47,39,59,36,62,97,54,12,9,33,57
2012,Rice,212,78,171,18,60,38,51,24,87,111,46,20,19,48,65
2012,Marquette,208,71,186,19,56,47,65,35,91,125,41,22,10,37,48
2012,Xavier,207,70,154,15,40,52,72,32,68,99,28,15,11,34,44
2012,Old Dominion,206,70,171,24,60,42,69,50,71,121,40,26,17,44,45
2012,NC State,202,70,174,16,45,46,69,48,79,126,34,14,12,34,44
2012,Butler,200,67,173,13,44,53,77,44,74,118,38,21,9,38,56
2012,Nevada,199,68,155,14,39,49,70,32,77,108,36,9,12,38,43
2012,Michigan State,198,79,163,12,40,28,38,29,82,111,45,16,8,37,51
2012,Robert Morris,197,70,164,23,60,34,57,41,67,107,49,20,4,40,52
2012,Wisconsin,196,67,152,34,79,28,39,29,63,92,43,9,11,24,43
2012,Cincinnati,193,72,165,17,54,32,47,28,69,96,38,21,14,42,55
2012,Ohio,192,62,157,27,66,41,50,20,62,81,40,28,6,31,53
2012,Illinois State,184,59,113,32,53,34,44,17,51,68,36,12,7,32,37
2012,Iowa,181,70,137,16,38,25,30,27,43,70,42,9,5,18,35
2012,South Florida,179,65,145,15,47,34,48,29,74,102,32,18,11,33,46
2012,TCU,164,58,128,18,51,30,44,20,52,72,27,13,3,32,32
2012,Princeton,156,59,116,20,49,18,24,15,40,54,38,13,6,20,25
2012,Buffalo,154,63,125,21,48,7,13,23,52,74,35,16,6,29,32
2012,Weber State,150,54,125,15,46,27,30,15,43,57,27,15,8,19,38
2012,Iowa State,148,51,115,9,38,37,45,24,49,72,17,8,6,18,32
2012,Manhattan,146,59,110,6,26,22,34,25,44,69,29,11,12,38,34
2012,Brigham Young,146,53,123,14,39,26,42,20,58,77,37,17,13,37,36
2012,Gonzaga,143,50,106,17,40,26,35,18,47,65,29,12,3,19,44
2012,Idaho,142,50,108,12,32,30,45,23,40,62,31,10,6,23,30
2012,Drake,138,42,109,16,35,38,48,15,43,58,16,18,7,21,32
2012,Georgetown,137,51,100,13,37,22,30,16,49,65,27,7,7,24,33
2012,Norfolk State,136,50,125,14,43,22,31,29,40,68,23,5,6,19,41
2012,Vanderbilt,136,45,92,13,37,33,46,19,52,70,21,12,8,28,35
2012,Lehigh,133,43,116,9,40,38,57,24,47,70,16,13,6,16,42
2012,Georgia State,133,49,116,13,41,22,34,23,54,77,23,18,15,24,31
2012,Purdue,132,46,107,13,34,27,37,20,49,68,18,10,3,20,33
2012,Bucknell,132,42,104,15,40,33,39,17,50,66,26,10,5,29,41
2012,Colorado,131,45,99,12,27,29,45,17,57,74,25,10,6,36,34
2012,New Mexico,131,48,108,12,44,23,32,24,44,67,32,11,9,27,28
2012,Northwestern,131,47,113,19,51,18,28,18,37,55,37,16,10,21,27
2012,Creighton,131,50,118,17,41,14,25,17,49,65,25,11,6,16,29
2012,Northern Iowa,130,46,112,13,43,25,33,23,51,73,22,11,3,18,33
2012,Seton Hall,130,44,107,11,42,31,43,17,41,57,25,20,9,27,36
2012,Kansas State,129,42,109,6,29,39,53,29,43,72,20,9,7,25,38
2012,Vermont,129,50,113,7,29,22,32,25,52,76,24,9,5,25,38
2012,USC Upstate,129,47,123,11,44,24,37,27,40,67,25,24,7,32,41
2012,Tennessee,129,43,108,5,23,38,57,17,56,72,23,11,9,22,34
2012,Toledo,127,45,95,12,32,25,34,14,40,54,29,13,4,25,24
2012,Pennsylvania ,127,46,114,17,47,18,26,18,42,60,29,13,9,19,33
2012,Miami (FL),126,47,114,14,47,18,28,21,37,58,23,14,4,16,25
2012,Western Kentucky,125,44,125,8,31,29,49,33,57,90,20,13,11,37,37
2012,VCU,123,48,116,15,53,12,22,19,42,60,17,18,6,22,28
2012,Florida State,122,43,103,13,36,23,29,19,44,62,24,14,17,29,34
2012,Saint Louis,122,39,97,12,38,32,41,15,45,59,16,11,2,22,28
2012,Wyoming,119,38,86,7,35,36,52,8,49,57,20,10,5,28,37
2012,Murray State,111,40,115,9,38,22,36,23,52,75,16,15,9,23,26
2012,Mississippi State,96,32,75,12,31,20,25,12,30,41,22,6,3,15,17
2012,Ole Miss,93,35,72,10,24,13,22,14,21,34,22,11,4,9,19
2012,Evansville,86,31,52,7,14,17,21,5,17,22,19,4,4,12,17
2012,Missouri,84,29,55,13,29,13,17,7,18,25,15,6,1,8,19
2012,UC Santa Barbara,83,34,62,8,18,7,11,13,23,36,13,3,3,9,18
2012,Albany,79,26,57,12,24,15,19,8,19,26,18,11,2,16,18
2012,Cal State Fullerton,79,27,76,9,27,16,24,22,26,48,16,4,0,13,27
2012,Marshall,78,27,59,8,19,16,24,12,24,36,8,5,1,13,26
2012,LSU,76,26,59,7,19,17,24,14,20,33,18,3,3,17,23
2012,Dayton,75,26,66,9,30,34,16,26,20,45,10,3,0,8,15
2012,San Francisco,75,21,58,8,27,25,36,14,16,29,14,7,1,6,20
2012,North Dakota State,75,27,57,7,17,14,22,6,23,28,11,10,1,9,28
2012,Akron,74,30,67,6,19,8,11,18,28,45,20,4,2,12,13
2012,Milwaukee,73,28,67,8,30,9,15,15,21,35,16,10,2,16,21
2012,Texas-Arlington,72,25,62,5,21,17,22,16,21,37,13,5,2,12,23
2012,Iona,72,31,70,6,25,4,8,8,28,36,19,10,3,17,19
2012,Duke,70,24,58,6,26,16,23,14,29,42,12,4,3,12,26
2012,Harvard,70,25,56,9,24,11,14,10,16,25,14,4,0,10,21
2012,Cal State Bakersfield,69,23,58,7,22,16,22,13,20,32,12,11,3,13,27
2012,Utah Valley,69,25,52,8,20,11,13,7,26,33,12,5,6,17,12
2012,Saint Mary's,69,27,64,4,25,11,13,12,28,39,11,3,3,11,18
2012,Bowling Green,69,28,59,3,20,10,14,10,19,28,13,6,5,11,18
2012,Long Beach State,68,28,65,4,16,8,14,15,21,36,13,6,2,15,19
2012,Long Island,67,22,50,8,17,15,23,4,17,20,10,6,4,11,10
2012,Coastal Carolina,66,25,55,5,19,11,17,13,21,33,17,9,4,13,16
2012,New Mexico State,66,27,49,4,12,8,10,7,17,23,7,5,6,17,13
2012,Saint Joseph's,65,23,52,6,21,13,22,7,28,34,12,4,10,9,15
2012,Cleveland State,65,25,67,8,23,7,13,15,29,44,14,6,0,21,28
2012,UNC Asheville,65,21,49,9,23,14,16,11,22,32,17,3,0,12,22
2012,San Diego State,65,23,61,8,23,11,14,7,22,29,9,3,2,8,17
2012,Southern Mississippi,64,22,60,8,23,12,17,13,22,34,8,8,0,10,25
2012,North Dakota,64,25,58,5,19,9,17,9,30,39,11,3,4,16,18
2012,UConn,64,21,56,7,19,15,22,9,16,24,8,7,5,4,17
2012,UNLV,64,23,71,9,36,9,17,11,23,33,13,14,8,8,22
2012,Quinnipiac,63,26,58,5,17,6,10,10,27,37,9,1,4,11,12
2012,Wofford,63,22,59,7,25,12,14,14,22,35,13,1,2,7,6
2012,Notre Dame,63,25,49,9,21,4,9,6,15,21,19,6,1,11,16
2012,McNeese State,63,26,61,7,18,4,7,12,15,27,14,8,1,13,16
2012,Louisiana,63,22,58,6,21,13,28,11,25,36,9,10,3,15,21
2012,St. Bonaventure,63,23,57,7,14,10,13,16,24,39,13,9,3,13,16
2012,Davidson,62,21,60,4,19,16,23,13,24,36,12,4,6,10,23
2012,American University,61,24,71,7,27,6,10,18,21,39,13,8,6,11,11
2012,La Salle,61,24,51,5,10,8,13,9,15,23,16,10,5,18,14
2012,Stony Brook,61,23,61,6,24,9,12,19,25,44,13,9,4,18,18
2012,South Dakota State,60,21,50,10,30,8,14,7,16,23,16,7,1,13,17
