year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2011,Creighton,480,164,321,49,113,103,135,55,142,197,110,30,23,76,88
2011,Oregon,442,158,342,43,126,83,110,55,125,179,92,51,16,68,104
2011,VCU,432,143,332,61,143,85,123,60,144,204,100,38,15,56,115
2011,Santa Clara,399,128,285,41,113,102,139,71,133,203,61,23,14,58,91
2011,UConn,398,143,327,30,96,82,100,66,176,241,75,27,31,54,85
2011,Wichita State,378,138,279,36,91,66,84,55,130,184,90,30,25,67,88
2011,Butler,377,122,334,50,160,83,118,80,133,213,51,33,10,59,111
2011,Alabama,340,134,277,21,71,51,85,53,108,161,57,55,23,60,86
2011,North Carolina,338,123,269,17,61,75,101,58,114,171,67,30,28,47,61
2011,Kentucky,323,118,263,38,95,49,77,46,117,162,63,30,32,54,69
2011,Colorado,319,113,232,25,75,68,89,52,98,149,66,27,8,42,56
2011,Iona,315,112,226,33,78,58,84,32,99,130,72,32,16,47,70
2011,Florida,306,112,229,28,85,54,78,34,110,144,68,27,14,42,69
2011,Arizona,303,105,228,26,69,67,90,52,92,143,57,26,8,46,74
2011,Kansas,283,108,234,24,72,43,66,52,110,162,66,24,11,47,56
2011,Washington State,272,91,222,20,67,70,95,34,101,134,45,23,25,46,59
2011,San Francisco,249,84,190,26,83,55,67,34,89,122,47,22,6,47,61
2011,Southern Methodist,239,83,175,24,67,49,74,25,89,114,48,22,17,56,68
2011,East Tennessee State,238,82,165,22,48,52,67,20,66,85,33,28,8,31,55
2011,Duke,237,84,167,19,53,50,63,29,68,96,39,15,12,30,49
2011,Brigham Young,237,80,191,30,87,47,55,27,81,108,44,30,8,30,60
2011,Charleston,233,75,153,31,67,52,65,18,73,90,36,10,8,39,47
2011,Ohio State,233,84,169,34,66,31,48,36,69,104,56,19,5,29,34
2011,Miami (FL),230,79,159,15,54,57,73,33,71,104,30,10,9,33,55
2011,Boise State,229,77,165,21,59,54,74,20,61,80,41,19,6,39,58
2011,Northwestern,221,80,184,37,108,24,29,34,65,99,58,19,9,29,44
2011,Kent State,217,90,182,22,54,15,20,30,69,98,43,19,13,34,46
2011,San Diego State,206,82,195,22,55,20,30,42,82,124,38,15,12,25,36
2011,UCF,199,76,157,10,49,37,58,30,61,91,36,19,13,40,43
2011,Florida State,199,68,162,20,53,43,63,38,84,122,36,16,25,40,54
2011,Wisconsin,196,58,146,28,71,52,67,27,65,91,34,14,7,28,55
2011,Marquette,195,68,159,12,39,47,62,35,61,96,36,21,11,47,48
2011,Richmond,191,74,174,20,64,23,37,34,58,91,39,12,15,18,40
2011,Buffalo,187,70,169,14,47,33,61,41,68,109,30,24,15,47,102
2011,Davidson,177,67,130,18,46,25,35,24,44,67,34,11,10,23,53
2011,Duquesne,162,61,119,20,46,20,29,17,45,62,31,23,13,33,39
2011,Missouri State,161,52,115,21,47,36,48,21,42,62,30,6,4,16,36
