year,team,seed,wins,losses,cwins,closses
2010,Kentucky,1,31,3,14,2
2010,Kansas,1,31,3,15,1
2010,Duke,1,29,5,13,3
2010,Syracuse,1,27,5,15,3
2010,West Virginia,2,28,5,13,5
2010,Ohio State,2,26,8,14,4
2010,Villanova,2,23,8,13,5
2010,Kansas State,2,25,8,11,5
2010,New Mexico,3,28,5,14,2
2010,Georgetown,3,22,11,10,8
2010,Baylor,3,25,7,11,5
2010,Pittsburgh,3,23,9,13,5
2010,Wisconsin,4,22,9,13,5
2010,Maryland,4,22,9,13,3
2010,Purdue,4,27,5,14,4
2010,Vanderbilt,4,23,9,12,4
2010,Temple,5,28,6,14,2
2010,Michigan State,5,24,8,14,4
2010,Texas A&M,5,23,9,11,5
2010,Butler,5,31,1,18,0
2010,Marquette,6,21,12,11,7
2010,Tennessee,6,26,7,11,5
2010,Notre Dame,6,22,12,10,8
2010,Xavier,6,25,7,14,2
2010,Clemson,7,20,11,9,7
2010,Oklahoma State,7,21,11,9,7
2010,Richmond,7,25,9,13,3
2010,Brigham Young,7,29,5,13,3
2010,Texas,8,23,10,9,7
2010,UNLV,8,24,9,11,5
2010,California,8,23,10,13,5
2010,Gonzaga,8,26,6,12,2
2010,Wake Forest,9,20,9,9,7
2010,Northern Iowa,9,30,2,15,3
2010,Louisville,9,20,12,11,7
2010,Florida State,9,22,9,10,6
2010,Missouri,10,23,9,10,6
2010,Georgia Tech,10,23,11,7,9
2010,Saint Mary's,10,28,3,11,3
2010,Florida,10,21,12,9,7
2010,Washington,11,26,7,11,7
2010,San Diego State,11,25,8,11,5
2010,Old Dominion,11,27,7,15,3
2010,Minnesota,11,21,13,9,9
2010,Cornell,12,29,2,13,1
2010,New Mexico State,12,22,11,11,5
2010,Utah State,12,27,7,14,2
2010,UTEP,12,26,6,15,1
2010,Wofford,13,26,8,15,3
2010,Houston,13,19,15,7,9
2010,Siena,13,27,6,17,1
2010,Murray State,13,31,3,17,1
2010,Montana,14,22,9,10,6
2010,Ohio,14,22,13,7,9
2010,Sam Houston State,14,25,7,14,2
2010,Oakland,14,26,8,17,1
2010,Morgan State,15,27,9,15,1
2010,UC Santa Barbara,15,20,9,12,4
2010,Robert Morris,15,23,11,15,3
2010,North Texas,15,24,8,13,5
2010,East Tennessee State,16,20,14,13,7
2010,Lehigh,16,22,10,10,4
2010,Winthrop,16,19,13,12,6
2010,Arkansas-Pine Bluff ,16,17,15,14,4
2010,Vermont,16,25,9,12,4
