year,team,seed,wins,losses,cwins,closses
2019,Virginia,1,29,3,16,2
2019,Gonzaga,1,29,4,16,0
2019,Duke,1,28,6,14,4
2019,North Carolina,1,26,7,16,2
2019,Michigan State,2,28,6,16,4
2019,Tennessee,2,28,6,15,3
2019,Kentucky,2,26,7,15,3
2019,Michigan,2,27,7,15,5
2019,Houston,3,31,3,16,2
2019,Texas Tech,3,29,3,14,4
2019,LSU,3,26,6,16,2
2019,Purdue,3,24,8,16,4
2019,Florida State,4,27,7,13,5
2019,Kansas,4,24,10,12,6
2019,Virginia Tech,4,24,8,12,6
2019,Kansas State,4,24,9,14,4
2019,Auburn,5,29,6,11,7
2019,Marquette,5,23,10,12,6
2019,Mississippi State,5,22,11,10,8
2019,Wisconsin,5,22,11,14,6
2019,Buffalo,6,31,3,16,2
2019,Villanova,6,25,9,13,5
2019,Iowa State,6,22,12,9,9
2019,Maryland,6,22,10,13,7
2019,Wofford,7,29,4,18,0
2019,Nevada,7,28,5,15,3
2019,Cincinnati,7,27,7,14,4
2019,Louisville,7,19,14,10,8
2019,Utah State,8,27,7,15,3
2019,UCF,8,24,7,13,5
2019,Ole Miss,8,19,13,10,8
2019,Syracuse,8,19,14,10,8
2019,Washington,9,27,7,15,3
2019,VCU,9,24,8,16,2
2019,Baylor,9,20,12,10,8
2019,Oklahoma,9,20,12,7,11
2019,Iowa,10,23,10,10,10
2019,Minnesota,10,22,12,9,11
2019,Florida,10,20,14,9,9
2019,Seton Hall,10,20,13,9,9
2019,Belmont,11,26,5,16,2
2019,Arizona State,11,22,10,12,6
2019,Temple,11,23,9,13,5
2019,Saint Mary's,11,22,11,11,5
2019,St. John's,11,21,12,8,10
2019,Ohio State,11,20,13,8,12
2019,New Mexico State,12,30,4,15,1
2019,Liberty,12,29,5,14,2
2019,Murray State,12,28,3,16,2
2019,Oregon,12,24,11,10,8
2019,UC Irvine,13,31,4,15,1
2019,Vermont,13,27,6,14,2
2019,Northeastern,13,23,10,14,4
2019,Saint Louis,13,23,12,10,8
2019,Northern Kentucky,14,26,8,13,5
2019,Old Dominion,14,26,8,13,5
2019,Georgia State,14,24,9,13,5
2019,Yale,14,22,7,10,4
2019,Abilene Christian,15,27,6,14,4
2019,Montana,15,26,8,16,4
2019,Colgate,15,24,10,13,5
2019,Bradley,15,20,14,9,9
2019,Gardner-Webb,16,23,11,10,6
2019,Prairie View A&M,16,22,12,17,1
2019,Fairleigh Dickinson,16,20,13,12,6
2019,North Dakota State,16,18,15,9,7
2019,North Carolina Central,16,18,15,10,6
2019,Iona,16,17,15,12,6
