year,team,seed,wins,losses,cwins,closses
2017,Gonzaga,1,32,1,17,1
2017,North Carolina,1,27,7,14,4
2017,Villanova,1,30,4,15,3
2017,Kansas,1,27,5,16,2
2017,Arizona,2,29,5,16,2
2017,Kentucky,2,29,5,16,2
2017,Duke,2,26,9,11,7
2017,Louisville,2,23,9,12,6
2017,Oregon,3,30,4,16,2
2017,UCLA,3,29,4,15,3
2017,Baylor,3,24,8,12,6
2017,Florida State,3,24,9,12,6
2017,West Virginia,4,26,8,12,6
2017,Florida,4,23,9,14,4
2017,Purdue,4,25,7,14,4
2017,Butler,4,23,8,12,6
2017,Notre Dame,5,25,9,12,6
2017,Iowa State,5,23,10,12,6
2017,Minnesota,5,23,10,11,7
2017,Virginia,5,22,10,11,7
2017,Cincinnati,6,29,5,16,2
2017,Southern Methodist,6,29,5,17,1
2017,Creighton,6,24,10,10,8
2017,Maryland,6,23,9,12,6
2017,Saint Mary's,7,28,4,16,2
2017,Michigan,7,25,10,10,8
2017,South Carolina,7,25,7,12,6
2017,Dayton,7,23,8,15,3
2017,Wisconsin,8,26,8,12,6
2017,Arkansas,8,25,9,12,6
2017,Northwestern,8,23,11,10,8
2017,Miami (FL),8,20,12,10,8
2017,Virginia Tech,9,22,10,10,8
2017,Seton Hall,9,21,11,10,8
2017,Michigan State,9,20,13,10,8
2017,Vanderbilt,9,19,15,10,8
2017,Wichita State,10,31,3,17,1
2017,VCU,10,26,8,14,4
2017,Oklahoma State,10,20,12,9,9
2017,Marquette,10,19,12,10,8
2017,USC,11,26,7,10,8
2017,Rhode Island,11,25,8,13,5
2017,Xavier,11,24,10,9,9
2017,Kansas State,11,20,13,8,10
2017,Providence,11,19,13,10,8
2017,Wake Forest,11,19,13,9,9
2017,Middle Tennessee State,12,31,3,17,1
2017,UNC Wilmington,12,29,5,15,3
2017,Nevada,12,28,6,14,4
2017,Princeton,12,23,6,14,0
2017,Vermont,13,29,5,16,0
2017,East Tennessee State,13,27,7,14,4
2017,Bucknell,13,26,8,15,3
2017,Winthrop,13,26,6,15,3
2017,New Mexico State,14,28,5,11,3
2017,Florida Gulf Coast,14,26,7,12,2
2017,Iona,14,22,12,12,8
2017,Kent State,14,22,13,10,8
2017,Northern Kentucky,15,24,10,12,6
2017,North Dakota,15,22,9,14,4
2017,Troy,15,22,14,10,8
2017,Jacksonville State,15,20,14,9,7
2017,North Carolina Central,16,24,9,13,3
2017,Texas Southern,16,23,11,16,2
2017,UC Davis,16,23,11,11,5
2017,Mount St. Mary's,16,19,15,14,4
2017,New Orleans,16,20,11,13,5
2017,South Dakota State,16,18,16,8,8
