year,team,seed,wins,losses,cwins,closses
2004,Saint Joseph's,1,26,2,16,0
2004,Kentucky,1,25,5,13,3
2004,Duke,1,26,6,13,3
2004,Stanford,1,28,2,17,1
2004,Oklahoma State,2,27,3,14,2
2004,Gonzaga,2,26,3,14,0
2004,Mississippi State,2,24,4,14,2
2004,UConn,2,28,5,12,4
2004,Pittsburgh,3,29,4,13,3
2004,Georgia Tech,3,24,8,9,7
2004,Texas,3,22,8,12,4
2004,NC State,3,19,10,11,5
2004,Wake Forest,4,19,9,9,7
2004,Kansas,4,21,8,12,4
2004,Cincinnati,4,23,7,12,4
2004,Maryland,4,18,12,7,9
2004,Florida,5,19,11,9,7
2004,Providence,5,19,9,11,5
2004,Illinois,5,25,5,13,3
2004,Syracuse,5,21,7,11,5
2004,Wisconsin,6,24,6,12,4
2004,Boston College,6,23,9,10,6
2004,North Carolina,6,18,10,8,8
2004,Vanderbilt,6,22,8,8,8
2004,Memphis,7,21,7,12,4
2004,Michigan State,7,17,12,12,4
2004,Xavier,7,25,8,10,6
2004,DePaul,7,21,9,12,4
2004,Texas Tech,8,22,10,9,7
2004,Washington,8,18,12,12,6
2004,Seton Hall,8,20,9,10,6
2004,Alabama,8,19,10,8,8
2004,Charlotte,9,21,8,12,4
2004,UAB,9,22,7,12,4
2004,Arizona,9,20,9,11,7
2004,Southern Illinois,9,25,4,17,1
2004,South Carolina,10,23,10,8,8
2004,Nevada,10,25,6,13,5
2004,Louisville,10,20,9,9,7
2004,Dayton,10,24,8,12,4
2004,Richmond,11,20,12,10,6
2004,Utah,11,24,8,9,5
2004,Air Force,11,22,6,12,2
2004,Western Michigan,11,26,4,15,3
2004,Manhattan,12,25,4,16,2
2004,Pacific,12,25,6,17,1
2004,Murray State,12,28,5,14,2
2004,Brigham Young,12,21,8,10,4
2004,VCU,13,23,7,14,4
2004,Illinois-Chicago,13,24,7,12,4
2004,East Tennessee State,13,27,5,15,1
2004,UTEP,13,24,7,13,5
2004,UCF,14,24,6,17,3
2004,Northern Iowa,14,21,9,12,6
2004,Princeton,14,20,7,13,1
2004,Louisiana,14,20,8,12,3
2004,Eastern Washington,15,17,12,11,3
2004,Valparaiso,15,18,12,11,5
2004,Monmouth,15,21,11,12,6
2004,Vermont,15,22,8,15,3
2004,Liberty,16,18,14,12,4
2004,Lehigh,16,19,11,10,4
2004,Florida A&M,16,15,15,10,8
2004,Alabama State,16,16,14,11,7
2004,Texas-San Antonio,16,20,12,11,5
