year,team,seed,wins,losses,cwins,closses
2015,Kentucky,1,33,1,18,0
2015,Wisconsin,1,32,2,16,2
2015,Duke,1,29,4,15,3
2015,Villanova,1,31,3,16,2
2015,Gonzaga,2,32,2,17,1
2015,Arizona,2,31,3,16,2
2015,Virginia,2,28,4,16,2
2015,Kansas,2,25,9,13,5
2015,Notre Dame,3,29,5,14,4
2015,Iowa State,3,24,9,12,6
2015,Baylor,3,23,10,11,7
2015,Oklahoma,3,21,11,12,6
2015,Maryland,4,26,7,14,4
2015,Louisville,4,23,9,12,6
2015,North Carolina,4,24,11,11,7
2015,Georgetown,4,20,11,12,6
2015,Northern Iowa,5,30,3,16,2
2015,Arkansas,5,26,8,13,5
2015,Utah,5,25,7,13,5
2015,West Virginia,5,24,8,11,7
2015,Southern Methodist,6,26,7,15,3
2015,Butler,6,22,10,12,6
2015,Xavier,6,21,13,9,9
2015,Providence,6,21,12,11,7
2015,Wichita State,7,29,3,17,1
2015,Michigan State,7,26,8,12,6
2015,VCU,7,25,10,12,6
2015,Iowa,7,21,11,12,6
2015,San Diego State,8,26,8,14,4
2015,Oregon,8,25,9,13,5
2015,Cincinnati,8,22,10,13,5
2015,NC State,8,21,12,10,8
2015,LSU,9,22,10,11,7
2015,Purdue,9,21,12,12,6
2015,St. John's,9,21,11,10,8
2015,Oklahoma State,9,18,13,8,10
2015,Davidson,10,24,7,14,4
2015,Ohio State,10,24,9,11,7
2015,Georgia,10,21,11,11,7
2015,Indiana,10,20,13,9,9
2015,Dayton,11,27,6,13,5
2015,Boise State,11,24,9,14,4
2015,Brigham Young,11,25,9,13,5
2015,UCLA,11,21,12,11,7
2015,Ole Miss,11,20,12,11,7
2015,Texas,11,20,13,8,10
2015,Stephen F. Austin,12,29,4,17,1
2015,Wofford,12,28,6,16,2
2015,Wyoming,12,25,9,11,7
2015,Buffalo,12,23,9,12,6
2015,Valparaiso,13,28,5,13,3
2015,Eastern Washington,13,26,8,14,4
2015,Harvard,13,22,7,12,3
2015,UC Irvine,13,21,12,11,5
2015,Georgia State,14,25,8,15,5
2015,Albany,14,24,8,15,1
2015,Northeastern,14,23,11,12,6
2015,UAB,14,20,14,12,6
2015,New Mexico State,15,23,10,13,1
2015,North Dakota State,15,23,9,12,4
2015,Belmont,15,22,10,11,5
2015,Texas Southern,15,22,12,16,2
2015,Coastal Carolina,16,24,9,12,6
2015,North Florida,16,22,12,12,2
2015,Lafayette,16,20,12,9,9
2015,Robert Morris,16,20,13,12,6
2015,Manhattan,16,18,14,13,7
2015,Hampton,16,17,16,8,8
