year,team,seed,wins,losses,cwins,closses
2009,Pittsburgh,1,27,5,15,3
2009,Louisville,1,27,6,16,2
2009,North Carolina,1,28,4,13,3
2009,UConn,1,26,5,15,3
2009,Duke,2,27,7,11,5
2009,Michigan State,2,28,4,15,3
2009,Oklahoma,2,27,5,13,3
2009,Memphis,2,30,4,16,0
2009,Villanova,3,28,5,13,5
2009,Kansas,3,25,7,14,2
2009,Syracuse,3,26,9,11,7
2009,Missouri,3,29,5,12,4
2009,Xavier,4,25,7,12,4
2009,Wake Forest,4,23,7,11,5
2009,Gonzaga,4,26,5,14,0
2009,Washington,4,24,9,14,4
2009,Florida State,5,24,10,10,6
2009,Utah,5,23,10,12,4
2009,Illinois,5,23,10,11,7
2009,Purdue,5,26,8,11,7
2009,UCLA,6,25,8,13,5
2009,West Virginia,6,22,12,10,8
2009,Arizona State,6,24,9,11,7
2009,Marquette,6,24,9,12,6
2009,Texas,7,22,11,9,7
2009,Boston College,7,21,12,9,7
2009,Clemson,7,22,9,9,7
2009,California,7,21,11,11,7
2009,Oklahoma State,8,22,11,9,7
2009,Ohio State,8,21,11,10,8
2009,LSU,8,26,7,13,3
2009,Brigham Young,8,24,8,12,4
2009,Tennessee,9,21,12,10,6
2009,Siena,9,27,6,16,2
2009,Butler,9,26,5,15,3
2009,Texas A&M,9,24,8,9,7
2009,Minnesota,10,22,10,9,9
2009,USC,10,22,11,9,9
2009,Michigan,10,21,12,9,9
2009,Maryland,10,21,12,7,9
2009,VCU,11,24,9,14,4
2009,Dayton,11,27,6,11,5
2009,Temple,11,22,11,11,5
2009,Utah State,11,30,4,14,2
2009,Wisconsin,12,20,11,10,8
2009,Arizona,12,20,12,9,9
2009,Western Kentucky,12,25,7,15,3
2009,Northern Iowa,12,23,10,14,4
2009,Portland State,13,23,9,11,5
2009,Cleveland State,13,26,9,12,6
2009,Akron,13,23,12,10,6
2009,Mississippi State,13,23,12,9,7
2009,American University,14,24,7,13,1
2009,North Dakota State,14,26,6,16,2
2009,Stephen F. Austin,14,24,7,13,3
2009,Cornell,14,21,9,11,3
2009,Binghamton,15,23,8,13,3
2009,Robert Morris,15,24,10,15,3
2009,Morgan State,15,23,11,13,3
2009,Cal State Northridge,15,17,13,11,5
2009,East Tennessee State,16,22,11,14,6
2009,Alabama State,16,21,10,16,2
2009,Morehead State,16,20,14,12,6
2009,Radford,16,21,11,15,3
2009,Chattanooga,16,18,16,11,9
