year,team,seed,wins,losses,cwins,closses
2023,Houston,1,30,4,17,1
2023,Alabama,1,28,6,16,2
2023,Purdue,1,28,6,15,5
2023,Kansas,1,26,8,13,5
2023,UCLA,2,28,6,18,2
2023,Marquette,2,27,7,17,3
2023,Texas,2,25,9,12,6
2023,Arizona,2,27,7,14,6
2023,Gonzaga,3,28,5,14,2
2023,Xavier,3,25,9,15,5
2023,Kansas State,3,22,10,11,7
2023,Baylor,3,21,11,11,7
2023,UConn,4,27,6,13,7
2023,Tennessee,4,22,11,11,7
2023,Virginia,4,24,8,15,5
2023,Indiana,4,21,12,12,8
2023,San Diego State,5,28,5,15,3
2023,Miami (FL),5,27,5,15,5
2023,Duke,5,26,8,14,6
2023,Saint Mary's,5,26,7,14,2
2023,Creighton,6,22,11,14,6
2023,Kentucky,6,21,11,12,6
2023,TCU,6,21,12,9,9
2023,Iowa State,6,18,14,9,9
2023,Missouri,7,23,10,11,7
2023,Texas A&M,7,24,10,15,3
2023,Northwestern,7,21,11,12,8
2023,Michigan State,7,20,11,11,8
2023,Memphis,8,25,9,13,5
2023,Arkansas,8,21,12,8,10
2023,Maryland,8,21,12,11,9
2023,Iowa,8,18,14,11,9
2023,Florida Atlantic ,9,34,0,18,2
2023,Auburn,9,21,11,10,8
2023,Illinois,9,20,12,11,9
2023,West Virginia,9,19,14,7,11
2023,Utah State,10,26,8,13,5
2023,Boise State,10,24,9,13,5
2023,Penn State,10,23,12,10,10
2023,USC,10,22,10,14,6
2023,Pittsburgh,11,23,10,14,6
2023,Arizona State,11,22,12,11,9
2023,NC State,11,23,10,12,8
2023,Nevada,11,22,10,12,6
2023,Mississippi State,11,21,12,8,10
2023,Providence,11,21,11,13,7
2023,Charleston,12,31,3,16,2
2023,Oral Roberts,12,30,4,18,0
2023,Drake,12,27,7,15,5
2023,VCU,12,27,7,15,3
2023,Furman,13,28,6,15,3
2023,Kent State,13,28,6,15,3
2023,Iona,13,27,7,17,3
2023,Louisiana,13,26,7,13,5
2023,UC Santa Barbara,14,27,7,15,5
2023,Kennesaw State,14,26,8,15,3
2023,Montana State,14,25,9,15,3
2023,Grand Canyon,14,24,11,10,7
2023,UNC Asheville,15,27,7,16,2
2023,Colgate,15,26,8,17,1
2023,Princeton,15,23,6,10,4
2023,Vermont,15,23,10,14,2
2023,Texas A&M-CC,16,24,9,14,4
2023,Howard,16,22,12,11,3
2023,Northern Kentucky,16,22,12,14,6
2023,Fairleigh Dickinson,16,21,13,10,6
2023,Southeast Missouri State,16,18,17,10,8
2023,Texas Southern,16,13,21,7,11
