year,team,seed,wins,losses,cwins,closses
2014,Virginia,1,27,7,16,2
2014,Wichita State,1,33,1,18,0
2014,Florida,1,31,3,18,0
2014,Arizona,1,29,5,15,3
2014,Villanova,2,27,5,16,2
2014,Michigan,2,24,9,15,3
2014,Kansas,2,23,10,14,4
2014,Wisconsin,2,26,7,12,6
2014,Iowa State,3,25,8,11,7
2014,Duke,3,25,9,13,5
2014,Syracuse,3,26,6,14,4
2014,Creighton,3,25,8,14,4
2014,Michigan State,4,26,8,12,6
2014,Louisville,4,28,6,15,3
2014,UCLA,4,26,8,12,6
2014,San Diego State,4,29,4,16,2
2014,Cincinnati,5,26,7,15,3
2014,Saint Louis,5,26,6,13,3
2014,VCU,5,25,9,12,4
2014,Oklahoma,5,22,10,12,6
2014,North Carolina,6,23,9,13,5
2014,Massachusetts,6,23,9,10,6
2014,Ohio State,6,24,10,10,8
2014,Baylor,6,25,10,9,9
2014,UConn,7,30,4,12,6
2014,Texas,7,23,10,11,7
2014,New Mexico,7,26,7,15,3
2014,Oregon,7,23,9,10,8
2014,Memphis,8,23,9,12,6
2014,Kentucky,8,28,6,12,6
2014,Colorado,8,22,12,10,8
2014,Gonzaga,8,28,6,15,3
2014,George Washington,9,24,8,11,5
2014,Kansas State,9,20,12,10,8
2014,Pittsburgh,9,26,8,11,7
2014,Oklahoma State,9,21,12,8,10
2014,Saint Joseph's,10,24,9,11,5
2014,Arizona State,10,21,11,10,8
2014,Stanford,10,22,11,10,8
2014,Brigham Young,10,23,11,13,5
2014,Providence,11,23,11,10,8
2014,Tennessee,11,23,10,11,7
2014,Iowa,11,19,13,9,9
2014,Dayton,11,26,7,10,6
2014,Nebraska,11,19,12,11,7
2014,Harvard,12,27,3,13,1
2014,NC State,12,21,13,9,9
2014,Xavier,12,21,12,10,8
2014,Stephen F. Austin,12,32,1,18,0
2014,North Dakota State,12,26,5,12,2
2014,Delaware,13,25,9,14,2
2014,Manhattan,13,25,7,15,5
2014,Tulsa,13,21,12,13,3
2014,New Mexico State,13,26,9,12,4
2014,North Carolina Central,14,28,5,16,1
2014,Mercer,14,27,7,14,4
2014,Western Michigan,14,23,9,14,4
2014,Louisiana,14,23,11,11,7
2014,Milwaukee,15,21,13,7,9
2014,Wofford,15,20,12,11,5
2014,Eastern Kentucky,15,24,9,11,5
2014,American University,15,20,12,13,5
2014,Coastal Carolina,16,21,12,11,5
2014,Texas Southern,16,19,14,12,6
2014,Cal Poly,16,13,19,6,10
2014,Albany,16,18,14,9,7
2014,Mount St. Mary's,16,16,16,9,7
2014,Weber State,16,19,11,14,6
