year,team,seed,wins,losses,cwins,closses
2018,Villanova,1,30,4,14,4
2018,Kansas,1,27,7,13,5
2018,Virginia,1,30,3,17,1
2018,Xavier,1,27,6,15,3
2018,Cincinnati,2,29,5,16,2
2018,Purdue,2,27,7,15,3
2018,Duke,2,26,7,13,5
2018,North Carolina,2,24,11,11,7
2018,Michigan,3,28,7,13,5
2018,Michigan State,3,28,5,16,2
2018,Texas Tech,3,25,8,11,7
2018,Tennessee,3,24,9,13,5
2018,Gonzaga,4,29,5,17,1
2018,Arizona,4,26,8,14,4
2018,Auburn,4,24,8,13,5
2018,Wichita State,4,24,8,14,4
2018,West Virginia,5,25,10,11,7
2018,Kentucky,5,23,11,10,8
2018,Clemson,5,24,8,11,7
2018,Ohio State,5,24,8,15,3
2018,Houston,6,26,7,14,4
2018,Miami (FL),6,21,10,11,7
2018,Florida,6,20,12,11,7
2018,TCU,6,20,12,9,9
2018,Nevada,7,27,7,15,3
2018,Rhode Island,7,25,7,15,3
2018,Arkansas,7,22,12,10,8
2018,Texas A&M,7,21,11,9,9
2018,Seton Hall,8,21,11,10,8
2018,Creighton,8,20,12,10,8
2018,Virginia Tech,8,20,12,10,8
2018,Missouri,8,19,13,10,8
2018,Kansas State,9,23,10,10,8
2018,Florida State,9,23,8,9,9
2018,NC State,9,21,11,11,7
2018,Alabama,9,20,14,8,10
2018,Butler,10,21,12,9,9
2018,Providence,10,21,13,10,8
2018,Texas,10,19,14,8,10
2018,Oklahoma,10,18,13,8,10
2018,Loyola (IL),11,32,1,15,3
2018,St. Bonaventure,11,25,7,14,4
2018,Syracuse,11,23,10,8,10
2018,San Diego State,11,22,10,11,7
2018,UCLA,11,21,11,11,7
2018,Arizona State,11,19,12,8,10
2018,New Mexico State,12,28,5,12,2
2018,South Dakota State,12,28,6,13,1
2018,Murray State,12,26,5,16,2
2018,Davidson,12,21,11,13,5
2018,Buffalo,13,27,7,15,3
2018,UNC Greensboro,13,27,7,15,3
2018,Charleston,13,26,7,14,4
2018,Marshall,13,25,9,12,6
2018,Stephen F. Austin,14,28,6,14,4
2018,Montana,14,26,7,16,2
2018,Bucknell,14,25,9,16,2
2018,Wright State,14,25,9,14,4
2018,Georgia State,15,24,10,12,6
2018,Lipscomb,15,23,9,10,4
2018,Cal State Fullerton,15,20,11,10,6
2018,Iona,15,20,13,11,7
2018,UMBC,16,25,9,12,4
2018,Pennsylvania ,16,24,8,12,2
2018,Radford,16,23,11,12,6
2018,North Carolina Central,16,18,16,9,7
2018,Long Island,16,17,17,10,8
2018,Texas Southern,16,16,18,12,6
