year,team,seed,wins,losses,cwins,closses
2022,Arizona,1,30,4,18,2
2022,Kansas,1,28,6,14,4
2022,Gonzaga,1,25,4,13,1
2022,Baylor,1,25,7,14,4
2022,Duke,2,27,7,16,4
2022,Villanova,2,26,7,16,4
2022,Auburn,2,26,6,15,3
2022,Kentucky,2,25,8,14,4
2022,Purdue,3,26,8,14,6
2022,Tennessee,3,25,8,14,4
2022,Texas Tech,3,25,9,12,6
2022,Wisconsin,3,23,8,15,5
2022,Arkansas,4,26,7,13,5
2022,Providence,4,25,5,14,3
2022,UCLA,4,24,8,15,5
2022,Illinois,4,21,10,15,5
2022,Houston,5,31,3,15,3
2022,Iowa,5,25,10,12,8
2022,Saint Mary's,5,25,7,12,3
2022,UConn,5,22,10,13,6
2022,Colorado State,6,24,6,14,4
2022,LSU,6,21,12,9,9
2022,Texas,6,21,11,10,8
2022,Alabama,6,18,14,9,9
2022,Murray State,7,29,3,18,0
2022,USC,7,25,8,14,6
2022,Michigan State,7,22,12,11,9
2022,Ohio State,7,19,11,12,8
2022,North Carolina,8,27,6,15,5
2022,Boise State,8,26,8,15,3
2022,San Diego State,8,22,9,13,4
2022,Seton Hall,8,20,11,11,8
2022,Creighton,9,23,10,12,7
2022,Memphis,9,22,9,13,5
2022,TCU,9,21,11,8,10
2022,Marquette,9,19,12,11,8
2022,Davidson,10,27,6,15,3
2022,Miami (FL),10,25,8,14,6
2022,Loyola (IL),10,25,7,13,5
2022,San Francisco,10,24,9,10,6
2022,Notre Dame,11,24,8,15,5
2022,Virginia Tech,11,23,12,11,9
2022,Iowa State,11,22,10,7,11
2022,Michigan,11,19,12,11,9
2022,Rutgers,11,17,14,12,8
2022,New Mexico State,12,27,5,13,4
2022,UAB,12,27,7,14,4
2022,Wyoming,12,24,9,13,5
2022,Richmond,12,24,11,10,8
2022,Indiana,12,21,12,9,11
2022,South Dakota State,13,30,4,18,0
2022,Vermont,13,28,5,17,1
2022,Chattanooga,13,27,7,14,4
2022,Akron,13,24,9,14,6
2022,Montana State,14,27,7,16,4
2022,Longwood,14,26,6,15,1
2022,Colgate,14,23,11,16,2
2022,Yale,14,19,11,11,3
2022,Delaware,15,22,12,10,8
2022,Saint Peter's,15,22,8,14,6
2022,Cal State Fullerton,15,21,10,12,5
2022,Jacksonville State,15,21,10,13,3
2022,Norfolk State,16,24,6,12,2
2022,Texas A&M-CC,16,23,11,7,7
2022,Bryant,16,22,9,15,2
2022,Wright State,16,21,13,15,7
2022,Texas Southern,16,18,12,13,5
2022,Georgia State,16,18,10,9,5
