year,team,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,seed,wins,losses,winp,cwins,closses,cwinp
2005,Mississippi State,2318.0,72.438,818.0,1840.0,0.445,186.0,560.0,0.332,496.0,745.0,0.666,479.0,14.969,839.0,26.219,1318.0,41.188,453.0,14.156,222.0,6.938,103.0,3.219,482.0,15.062,494.0,15.438,9.0,23.0,9.0,0.719,9.0,7.0,0.562
2005,Gonzaga,2311.0,79.69,800.0,1581.0,0.506,146.0,373.0,0.391,565.0,757.0,0.746,380.0,13.103,788.0,27.172,1167.0,40.241,459.0,15.828,161.0,5.552,100.0,3.448,386.0,13.31,505.0,17.414,3.0,24.0,5.0,0.828,12.0,2.0,0.857
2005,Florida,2306.0,76.867,803.0,1645.0,0.488,230.0,585.0,0.393,470.0,672.0,0.699,333.0,11.1,751.0,25.033,1083.0,36.1,451.0,15.033,211.0,7.033,134.0,4.467,406.0,13.533,546.0,18.2,4.0,22.0,8.0,0.733,12.0,4.0,0.75
2005,Fairleigh Dickinson,2377.0,74.281,871.0,1918.0,0.454,214.0,610.0,0.351,421.0,629.0,0.669,390.0,12.188,737.0,23.031,1127.0,35.219,487.0,15.219,231.0,7.219,142.0,4.438,447.0,13.969,603.0,18.844,16.0,20.0,12.0,0.625,13.0,5.0,0.722
2005,Old Dominion,2349.0,71.182,843.0,1897.0,0.444,203.0,604.0,0.336,460.0,664.0,0.693,379.0,11.485,779.0,23.606,1157.0,35.061,539.0,16.333,320.0,9.697,150.0,4.545,394.0,11.939,568.0,17.212,12.0,28.0,5.0,0.848,15.0,3.0,0.833
2005,Alabama,2353.0,75.903,793.0,1644.0,0.482,240.0,609.0,0.394,527.0,716.0,0.736,312.0,10.065,791.0,25.516,1102.0,35.548,437.0,14.097,161.0,5.194,140.0,4.516,386.0,12.452,451.0,14.548,5.0,23.0,8.0,0.742,12.0,4.0,0.75
2005,Creighton,2360.0,71.515,802.0,1770.0,0.453,285.0,687.0,0.415,471.0,647.0,0.728,329.0,9.97,699.0,21.182,1027.0,31.121,471.0,14.273,226.0,6.848,108.0,3.273,389.0,11.788,582.0,17.636,10.0,22.0,11.0,0.667,10.0,8.0,0.556
2005,Connecticut,2280.0,78.621,811.0,1762.0,0.46,149.0,424.0,0.351,509.0,730.0,0.697,407.0,14.034,827.0,28.517,1235.0,42.586,505.0,17.414,179.0,6.172,265.0,9.138,439.0,15.138,458.0,15.793,2.0,21.0,8.0,0.724,13.0,3.0,0.812
2005,Iowa,2343.0,73.219,821.0,1772.0,0.463,205.0,541.0,0.379,496.0,720.0,0.689,366.0,11.438,816.0,25.5,1182.0,36.938,496.0,15.5,241.0,7.531,173.0,5.406,459.0,14.344,598.0,18.688,10.0,21.0,11.0,0.656,7.0,9.0,0.438
2005,Milwaukee,2171.0,74.862,757.0,1697.0,0.446,232.0,661.0,0.351,425.0,607.0,0.7,525.0,18.103,809.0,27.897,1334.0,46.0,401.0,13.828,246.0,8.483,105.0,3.621,395.0,13.621,553.0,19.069,12.0,26.0,3.0,0.897,14.0,2.0,0.875
2005,Texas,2327.0,77.567,792.0,1720.0,0.46,238.0,617.0,0.386,505.0,724.0,0.698,420.0,14.0,775.0,25.833,1195.0,39.833,404.0,13.467,182.0,6.067,128.0,4.267,428.0,14.267,532.0,17.733,8.0,19.0,11.0,0.633,9.0,7.0,0.562
2005,Utah,2200.0,68.75,777.0,1501.0,0.518,140.0,373.0,0.375,506.0,693.0,0.73,568.0,17.75,968.0,30.25,1535.0,47.969,476.0,14.875,197.0,6.156,88.0,2.75,445.0,13.906,454.0,14.188,6.0,28.0,4.0,0.875,13.0,1.0,0.929
2005,Saint Mary's,2317.0,70.212,776.0,1766.0,0.439,230.0,649.0,0.354,535.0,741.0,0.722,676.0,20.485,1053.0,31.909,1728.0,52.364,379.0,11.485,202.0,6.121,121.0,3.667,502.0,15.212,599.0,18.152,10.0,25.0,8.0,0.758,11.0,3.0,0.786
2005,Georgia Tech,2237.0,74.567,801.0,1770.0,0.453,177.0,538.0,0.329,458.0,667.0,0.687,364.0,12.133,754.0,25.133,1118.0,37.267,449.0,14.967,248.0,8.267,159.0,5.3,454.0,15.133,604.0,20.133,5.0,19.0,11.0,0.633,8.0,8.0,0.5
2005,Southern Illinois,2223.0,67.364,836.0,1841.0,0.454,192.0,523.0,0.367,359.0,484.0,0.742,349.0,10.576,669.0,20.273,1018.0,30.848,445.0,13.485,305.0,9.242,99.0,3.0,415.0,12.576,634.0,19.212,7.0,26.0,7.0,0.788,15.0,3.0,0.833
2005,Villanova,2139.0,73.759,739.0,1668.0,0.443,206.0,558.0,0.369,455.0,614.0,0.741,371.0,12.793,600.0,20.69,970.0,33.448,359.0,12.379,239.0,8.241,165.0,5.69,361.0,12.448,534.0,18.414,5.0,23.0,6.0,0.793,11.0,5.0,0.688
2005,Utah State,2262.0,72.968,831.0,1566.0,0.531,178.0,454.0,0.392,422.0,609.0,0.693,326.0,10.516,810.0,26.129,1137.0,36.677,534.0,17.226,173.0,5.581,89.0,2.871,384.0,12.387,425.0,13.71,14.0,24.0,7.0,0.774,13.0,5.0,0.722
